"Npop2","Npop3","Npop5","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14"
0.983606557377049,0.983606557377049,1,0.983606557377049,0.991803278688525,0.991803278688525,1,1,1,1,1
0.959016393442623,1,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.983606557377049,0.991803278688525,1,0.991803278688525,1,1,1,1,1,1,1
0.991803278688525,0.991803278688525,0.991803278688525,0.991803278688525,1,0.991803278688525,1,1,1,1,1
1,0.991803278688525,1,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,0.983606557377049,1,1,0.991803278688525,1,1,1,1,1
0.983606557377049,0.975409836065574,1,1,1,1,1,1,1,1,1
0.983606557377049,0.967213114754098,1,1,0.983606557377049,1,1,1,1,1,1
0.983606557377049,1,1,1,0.983606557377049,1,1,1,0.991803278688525,1,1
0.942622950819672,0.991803278688525,0.991803278688525,0.991803278688525,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1,1
0.975409836065574,1,1,1,1,1,1,1,1,1,1
1,0.983606557377049,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1
0.950819672131147,0.991803278688525,0.991803278688525,1,0.991803278688525,0.991803278688525,1,1,1,1,1
0.991803278688525,0.983606557377049,1,0.991803278688525,1,1,0.991803278688525,1,1,1,1
1,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1,1
1,0.975409836065574,1,1,0.991803278688525,1,1,1,1,1,1
0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1,1
0.959016393442623,0.975409836065574,1,1,0.991803278688525,1,1,1,1,1,1
1,0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1
0.975409836065574,1,1,1,1,1,1,1,1,1,1
0.975409836065574,1,0.991803278688525,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.959016393442623,0.991803278688525,1,0.991803278688525,0.991803278688525,1,1,1,1,1,1
1,1,1,0.991803278688525,1,1,1,1,1,1,1
0.975409836065574,1,1,1,0.991803278688525,1,1,1,1,1,1
0.991803278688525,1,0.991803278688525,1,1,1,1,1,1,1,1
0.967213114754098,1,1,0.983606557377049,1,1,1,1,1,1,1
1,0.991803278688525,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1
0.975409836065574,0.975409836065574,0.991803278688525,1,1,0.991803278688525,1,1,1,1,1
0.991803278688525,0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1
0.934426229508197,0.991803278688525,0.991803278688525,1,0.991803278688525,0.991803278688525,1,1,1,1,1
1,0.983606557377049,1,0.991803278688525,1,1,1,1,1,1,1
0.991803278688525,0.983606557377049,1,0.983606557377049,1,1,1,1,1,1,1
0.975409836065574,0.991803278688525,1,0.991803278688525,1,1,1,1,1,1,1
1,0.983606557377049,1,1,0.991803278688525,1,0.991803278688525,1,1,1,1
0.975409836065574,1,1,1,0.991803278688525,1,1,1,1,1,1
0.991803278688525,0.991803278688525,0.991803278688525,1,1,1,1,1,1,1,1
1,1,1,1,0.991803278688525,1,1,1,1,1,1
0.983606557377049,1,0.967213114754098,1,0.991803278688525,1,1,1,1,1,1
1,0.983606557377049,0.983606557377049,1,0.991803278688525,1,0.991803278688525,1,1,1,1
0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1,1
0.991803278688525,1,1,1,1,1,1,1,1,1,1
0.975409836065574,0.991803278688525,1,1,1,1,1,1,1,1,1
0.975409836065574,1,1,1,1,0.983606557377049,1,1,1,1,1
0.975409836065574,0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1
0.983606557377049,0.991803278688525,0.991803278688525,1,1,1,1,1,1,1,1
0.975409836065574,0.991803278688525,1,1,1,1,1,1,1,1,1
0.811475409836066,1,1,1,1,1,1,1,1,1,1
1,1,0.991803278688525,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1
0.991803278688525,1,1,1,1,1,1,1,1,1,1
0.934426229508197,0.983606557377049,0.983606557377049,1,0.991803278688525,0.991803278688525,1,1,1,1,1
0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1,1
0.983606557377049,1,1,1,1,0.991803278688525,1,1,1,1,1
1,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1,1
0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,1,0.991803278688525,1,1,1,1,1,1,1
1,1,1,1,0.991803278688525,1,1,1,1,1,1
0.991803278688525,0.983606557377049,0.975409836065574,1,1,1,1,1,1,1,1
1,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1
0.967213114754098,0.983606557377049,1,1,1,1,1,1,0.991803278688525,1,1
0.975409836065574,0.991803278688525,1,0.991803278688525,1,1,1,1,1,1,1
0.975409836065574,1,1,0.991803278688525,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,1,1,1,0.991803278688525,1,1,1,1,1
1,0.991803278688525,0.983606557377049,1,1,0.991803278688525,1,1,1,1,1
0.983606557377049,0.975409836065574,1,1,1,1,1,1,1,1,1
0.983606557377049,0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1
1,1,0.983606557377049,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1
0.975409836065574,1,0.991803278688525,1,1,0.991803278688525,1,1,1,1,1
0.967213114754098,0.991803278688525,1,1,1,1,1,1,1,1,1
0.991803278688525,0.983606557377049,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1
0.975409836065574,1,0.991803278688525,1,1,1,1,1,1,1,1
0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1,1
1,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1
0.991803278688525,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1,1
0.975409836065574,0.975409836065574,1,0.991803278688525,1,1,1,1,1,1,1
0.991803278688525,0.959016393442623,1,1,1,0.991803278688525,1,1,1,1,1
0.975409836065574,0.983606557377049,1,1,1,1,1,1,1,1,1
0.983606557377049,0.975409836065574,1,0.991803278688525,1,1,1,1,1,1,1
0.991803278688525,0.967213114754098,1,1,1,1,1,1,1,1,1
0.991803278688525,1,0.991803278688525,1,1,0.991803278688525,1,1,1,1,1
0.959016393442623,1,1,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1,1
0.967213114754098,1,0.991803278688525,1,1,1,1,1,1,1,1
0.983606557377049,1,0.991803278688525,1,1,1,1,1,1,1,1
0.983606557377049,0.975409836065574,1,1,1,1,1,1,1,1,1
0.959016393442623,1,1,1,1,1,1,1,1,1,1
0.983606557377049,1,1,0.991803278688525,1,1,1,1,1,1,1
0.975409836065574,1,1,1,0.991803278688525,1,1,1,1,1,1
0.983606557377049,0.959016393442623,1,1,1,1,0.991803278688525,1,1,1,1
0.983606557377049,1,1,1,1,1,1,1,1,1,1
0.983606557377049,0.975409836065574,1,1,1,1,1,1,1,1,1
0.991803278688525,0.983606557377049,1,1,1,1,1,1,1,1,1
0.975409836065574,0.983606557377049,0.991803278688525,1,1,1,1,0.991803278688525,1,1,1
0.942622950819672,1,0.991803278688525,1,1,1,1,1,1,1,1
0.983606557377049,0.967213114754098,0.991803278688525,0.991803278688525,1,1,0.991803278688525,1,1,1,1
0.991803278688525,1,1,1,1,1,1,1,1,1,1
0.983606557377049,0.983606557377049,1,1,1,1,1,1,1,1,1
0.959016393442623,0.983606557377049,1,0.991803278688525,1,1,1,1,1,1,1
1,1,0.983606557377049,0.991803278688525,1,1,1,1,1,1,1
0.967213114754098,0.991803278688525,1,1,1,1,1,1,1,1,1
0.934426229508197,0.959016393442623,1,1,1,1,1,1,1,1,1
0.983606557377049,0.991803278688525,0.991803278688525,1,1,1,0.991803278688525,1,1,1,1
