"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14","Npop15","Npop16","Npop17","Npop18","Npop19","Npop20"
0.1205,0.0565,0.0886,0.12,0.1306,0.1246,0.1492,0.089,0.0913,0.154,0.1491,0.1392,0.1151,0.131,0.1321,0.123,0.139,0.1431,0.1286
0.1128,0.058,0.0593,0.0745,0.136,0.0716,0.1338,0.1523,0.09,0.14,0.1296,0.1319,0.1339,0.1297,0.1319,0.1266,0.1271,0.1127,0.1266
0.0489,0.1368,0.1333,0.145,0.1579,0.1506,0.1337,0.1305,0.1292,0.1109,0.1426,0.1222,0.1153,0.1437,0.1047,0.137,0.1275,0.1203,0.1292
0.193,0.1417,0.1348,0.1144,0.0948,0.1359,0.1403,0.116,0.1631,0.137,0.1151,0.1491,0.1407,0.1241,0.1118,0.1381,0.1134,0.1292,0.1293
0.0217,0.1755,0.1281,0.1601,0.1712,0.0972,0.1389,0.0771,0.0895,0.0958,0.1333,0.1333,0.0939,0.1319,0.1413,0.1224,0.1184,0.1314,0.1309
0.1902,0.0973,0.0794,0.0724,0.1474,0.1497,0.0747,0.1153,0.1412,0.1199,0.1046,0.1426,0.12,0.1299,0.1293,0.127,0.1287,0.1261,0.1185
0.0397,0.1489,0.0683,0.1457,0.0585,0.1604,0.1386,0.0943,0.1346,0.151,0.1117,0.1073,0.1421,0.1201,0.1433,0.1244,0.1033,0.1372,0.1311
0.0695,0.0893,0.093,0.1338,0.1207,0.1405,0.1377,0.117,0.1454,0.0905,0.1485,0.1137,0.1259,0.1071,0.1356,0.1224,0.1354,0.1328,0.1228
0.0513,0.0471,0.0714,0.0556,0.1605,0.0783,0.1319,0.1314,0.1399,0.1033,0.107,0.1509,0.1208,0.1405,0.1457,0.1231,0.1316,0.1195,0.1366
0.1524,0.1408,0.1242,0.142,0.0719,0.1412,0.1482,0.1173,0.1483,0.0948,0.1287,0.1293,0.1517,0.135,0.1284,0.1242,0.1345,0.1243,0.1266
0.1703,0.1177,0.0782,0.0794,0.1149,0.1349,0.1178,0.133,0.1429,0.1034,0.1098,0.123,0.1303,0.1234,0.1269,0.1175,0.1358,0.1193,0.1416
0.0836,0.126,0.1346,0.0781,0.0504,0.1233,0.1202,0.1346,0.1482,0.1342,0.1266,0.129,0.1421,0.1353,0.1436,0.1218,0.1319,0.1256,0.128
0.2086,0.1117,0.1591,0.115,0.1282,0.1435,0.1353,0.1419,0.1257,0.1348,0.1321,0.153,0.1324,0.1458,0.1285,0.1393,0.1351,0.1324,0.1345
0.1368,0.1573,0.1553,0.0668,0.0544,0.0833,0.1425,0.1414,0.117,0.1364,0.1356,0.1135,0.1333,0.1322,0.1413,0.1177,0.1429,0.1175,0.1185
0.1833,0.0277,0.0732,0.1244,0.1371,0.0874,0.1225,0.1449,0.1091,0.1202,0.0821,0.12,0.1178,0.122,0.119,0.1347,0.1252,0.1406,0.129
0.1747,0.0687,0.1196,0.1481,0.1291,0.0782,0.1088,0.166,0.1349,0.1145,0.1263,0.1179,0.1339,0.1132,0.1347,0.1175,0.1221,0.134,0.119
0.0475,0.1423,0.1674,0.0747,0.089,0.1342,0.1215,0.13,0.116,0.1651,0.1218,0.129,0.0825,0.119,0.137,0.131,0.1167,0.1316,0.1369
0.051,0.1688,0.1806,0.1482,0.054,0.1463,0.0999,0.1438,0.1528,0.1374,0.1377,0.1443,0.1376,0.1435,0.1339,0.112,0.1158,0.1286,0.1389
0.1157,0.0824,0.1506,0.1453,0.1366,0.0593,0.1653,0.1381,0.1233,0.134,0.0902,0.1254,0.1304,0.1318,0.1117,0.1215,0.1357,0.1353,0.1414
0.1022,0.1893,0.1516,0.1414,0.1072,0.117,0.1194,0.1413,0.1396,0.122,0.1485,0.1361,0.1218,0.1317,0.1481,0.1342,0.1366,0.1419,0.1236
0.1106,0.103,0.1452,0.1639,0.189,0.164,0.1457,0.0675,0.1485,0.1198,0.1487,0.1461,0.1552,0.1343,0.1276,0.1281,0.1274,0.1215,0.1282
0.1507,0.0599,0.1546,0.112,0.1501,0.1186,0.1451,0.1321,0.1162,0.1217,0.154,0.1506,0.1166,0.145,0.1217,0.1268,0.1235,0.1172,0.1291
0.2817,0.1874,0.1579,0.1031,0.1024,0.0725,0.1156,0.1215,0.1387,0.1269,0.1448,0.1398,0.1371,0.1299,0.1407,0.1436,0.1188,0.1206,0.1208
0.0916,0.0762,0.1248,0.141,0.1536,0.1011,0.135,0.1379,0.1136,0.1549,0.1113,0.1187,0.1214,0.1384,0.1149,0.1365,0.1315,0.1322,0.1316
0.2662,0.105,0.1955,0.1684,0.1248,0.1082,0.042,0.1484,0.1496,0.09,0.1261,0.1212,0.1185,0.1322,0.1335,0.1208,0.1395,0.1188,0.129
0.1345,0.0644,0.0655,0.1139,0.0724,0.1487,0.094,0.1163,0.1474,0.1174,0.1327,0.1397,0.1158,0.1402,0.1245,0.1265,0.1275,0.117,0.1209
