"Npop2","Npop3","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14","Npop15","Npop16","Npop17","Npop18","Npop19","Npop20","Npop21","Npop22","Npop23","Npop24","Npop25","Npop26"
0.246,0.1849,0.1652,0.1479,0.1618,0.1399,0.1434,0.1289,0.1224,0.092,0.0963,0.1058,0.0903,0.0937,0.1192,0.1173,0.1209,0.1076,0.1091,0.1066,0.1027,0.1079,0.0992,0.1084
0.169,0.1548,0.1535,0.1624,0.1433,0.1425,0.1318,0.124,0.1266,0.1001,0.0971,0.0959,0.0882,0.0891,0.1203,0.12,0.1147,0.11,0.1133,0.107,0.1113,0.1051,0.1018,0.1077
0.1718,0.1736,0.164,0.1539,0.14,0.1302,0.1372,0.1338,0.1288,0.094,0.0944,0.0997,0.0895,0.1003,0.1217,0.1214,0.1141,0.1146,0.1184,0.1028,0.1094,0.1039,0.108,0.0997
0.1699,0.1378,0.1597,0.1525,0.1403,0.1406,0.1283,0.1301,0.1242,0.0974,0.0956,0.0972,0.0941,0.0924,0.1214,0.1168,0.1137,0.1073,0.1059,0.1009,0.104,0.1045,0.103,0.1019
0.245,0.1407,0.1724,0.1886,0.1471,0.1449,0.1339,0.136,0.1316,0.0947,0.1012,0.0955,0.0945,0.0967,0.1251,0.1188,0.1168,0.1117,0.1123,0.1133,0.1061,0.1095,0.1022,0.1098
0.1624,0.1257,0.1603,0.1511,0.1381,0.1413,0.1336,0.1298,0.1185,0.1025,0.0946,0.1028,0.0906,0.0985,0.1183,0.1207,0.1129,0.1112,0.1095,0.1146,0.1036,0.1052,0.1063,0.1015
0.1489,0.1398,0.1775,0.148,0.1537,0.134,0.1327,0.1295,0.1252,0.0882,0.092,0.0958,0.0924,0.0916,0.1198,0.1219,0.1193,0.1122,0.1118,0.1073,0.0985,0.0995,0.1059,0.1022
0.1942,0.1359,0.1752,0.1732,0.1506,0.1455,0.1467,0.1297,0.1332,0.0922,0.0968,0.0958,0.0926,0.0953,0.1207,0.1137,0.1182,0.112,0.108,0.1079,0.1061,0.1036,0.1086,0.1039
0.1719,0.1355,0.1549,0.1586,0.1415,0.142,0.1471,0.1297,0.1333,0.0965,0.0965,0.0954,0.0961,0.093,0.1191,0.1146,0.1128,0.1072,0.113,0.1086,0.1022,0.1034,0.1013,0.1038
0.1519,0.2792,0.1487,0.1445,0.1298,0.1519,0.1335,0.1239,0.1368,0.0983,0.1012,0.0975,0.0958,0.0921,0.119,0.1143,0.1177,0.1048,0.1113,0.1084,0.1012,0.106,0.1042,0.1041
0.1681,0.1364,0.1665,0.1646,0.1611,0.1409,0.1589,0.1363,0.1242,0.0986,0.0921,0.0938,0.093,0.0985,0.1164,0.1206,0.1158,0.1127,0.1153,0.1087,0.1011,0.1087,0.1026,0.1024
0.231,0.139,0.1658,0.1619,0.1519,0.1372,0.1435,0.1309,0.125,0.0965,0.0978,0.0985,0.089,0.0976,0.12,0.1193,0.1115,0.112,0.1106,0.1046,0.0974,0.1061,0.1076,0.1028
0.1463,0.1285,0.158,0.1461,0.1392,0.144,0.141,0.1396,0.1278,0.0891,0.1016,0.0984,0.0871,0.0947,0.1179,0.1249,0.1154,0.1113,0.1065,0.1068,0.1053,0.1001,0.1009,0.1038
0.1468,0.141,0.1657,0.1692,0.1412,0.1387,0.1359,0.1341,0.1291,0.1005,0.0964,0.0958,0.0917,0.0946,0.1221,0.1208,0.1116,0.1116,0.1146,0.1122,0.1116,0.1051,0.1042,0.0977
0.1583,0.1256,0.1521,0.1655,0.163,0.1407,0.1246,0.1323,0.13,0.0886,0.1006,0.0925,0.0957,0.0975,0.1242,0.1193,0.1121,0.1076,0.1061,0.1036,0.1072,0.1022,0.1082,0.1042
0.1455,0.1461,0.17,0.1472,0.1416,0.1399,0.1345,0.1276,0.1197,0.0937,0.0899,0.1031,0.0919,0.0915,0.1212,0.1213,0.1123,0.1064,0.1095,0.1144,0.1092,0.1045,0.1049,0.0993
0.1439,0.1275,0.1574,0.1577,0.1354,0.1629,0.1313,0.1342,0.1221,0.095,0.0939,0.0975,0.0882,0.0938,0.122,0.1135,0.114,0.1098,0.1073,0.1027,0.1023,0.1055,0.0974,0.1045
0.1735,0.1453,0.1621,0.1845,0.14,0.144,0.1424,0.1262,0.1284,0.0976,0.0962,0.0973,0.0931,0.0986,0.1198,0.1178,0.1107,0.1081,0.1069,0.1082,0.1022,0.1014,0.0999,0.1009
0.1529,0.1717,0.1631,0.1651,0.1476,0.1363,0.1305,0.133,0.1454,0.0976,0.097,0.0946,0.0956,0.0941,0.1182,0.1259,0.1169,0.1091,0.1112,0.107,0.0986,0.1008,0.1011,0.1012
0.1466,0.1242,0.1472,0.155,0.1406,0.1349,0.134,0.1336,0.1202,0.0933,0.0942,0.0974,0.1001,0.0865,0.1267,0.1193,0.1139,0.1115,0.1165,0.1071,0.1008,0.107,0.1064,0.1066
0.1454,0.1289,0.1584,0.167,0.1411,0.148,0.1423,0.1389,0.1279,0.093,0.0947,0.092,0.0971,0.0892,0.1224,0.1168,0.1152,0.1091,0.1098,0.1116,0.1031,0.1036,0.1063,0.1062
0.1569,0.1915,0.156,0.1433,0.1433,0.1421,0.1359,0.1255,0.1297,0.0965,0.0996,0.0938,0.0913,0.0962,0.1209,0.1175,0.1209,0.1106,0.1092,0.1128,0.1062,0.1049,0.1002,0.0974
0.172,0.1903,0.156,0.1799,0.154,0.1366,0.1376,0.1388,0.1238,0.0969,0.0982,0.0953,0.0894,0.0961,0.1233,0.1209,0.1105,0.1074,0.1065,0.1111,0.105,0.1038,0.1023,0.1049
0.2531,0.172,0.1575,0.1583,0.1509,0.1351,0.1566,0.1268,0.1314,0.0941,0.0936,0.1016,0.091,0.0958,0.1189,0.1185,0.1191,0.1131,0.1088,0.1076,0.1068,0.1034,0.1049,0.101
