"Npop2","Npop3","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14","Npop15","Npop16","Npop17","Npop18","Npop19","Npop20","Npop21","Npop22","Npop23","Npop24","Npop25","Npop26"
-0.1447,-0.1524,-0.1811,0.3393,0.3568,0.3377,0.3776,0.3148,0.3419,0.3245,0.3527,0.3314,0.3369,0.3438,0.3518,0.3588,0.3543,0.3346,0.3328,0.3289,0.3419,0.3402,0.3472,0.343
-0.1746,-0.1571,-0.1831,0.3229,0.3731,0.3663,0.3634,0.3334,0.3409,0.3352,0.3301,0.3558,0.3425,0.3372,0.3338,0.3471,0.3354,0.3408,0.3364,0.3387,0.3511,0.3496,0.3385,0.3479
-0.1452,-0.15,-0.1903,0.3551,0.3535,0.3662,0.3539,0.3315,0.3264,0.3376,0.3325,0.3273,0.3392,0.3493,0.3519,0.3499,0.3486,0.3436,0.3411,0.3485,0.352,0.3376,0.3424,0.336
-0.1534,-0.1441,-0.1658,0.3508,0.3512,0.3533,0.3468,0.3201,0.3474,0.3372,0.3353,0.335,0.3421,0.3446,0.3475,0.3449,0.3363,0.3399,0.3349,0.3324,0.3358,0.3479,0.3362,0.3446
-0.1596,-0.1429,-0.2038,0.3521,0.3661,0.362,0.3654,0.3082,0.3302,0.3223,0.3365,0.3446,0.3345,0.3367,0.3368,0.3568,0.351,0.3414,0.3344,0.3407,0.3389,0.3454,0.3291,0.334
-0.1373,-0.1384,-0.1982,0.3424,0.3554,0.3364,-0.1904,0.3174,0.341,0.3373,0.3433,0.3361,0.3315,0.3255,0.3368,0.3429,0.3484,0.3342,0.3276,0.3435,0.3451,0.3444,0.3381,0.3388
-0.1588,-0.1558,-0.1777,0.3428,0.3476,0.3603,0.3587,0.3131,0.3412,0.3284,0.3507,0.3282,0.3392,0.3492,0.3448,0.344,0.352,0.3432,0.3401,0.3415,0.3436,0.3324,0.3356,0.3488
-0.166,-0.1479,-0.1663,0.3539,0.3488,0.3531,0.3573,0.3174,0.3316,0.3415,0.3391,0.338,0.3506,0.3385,0.3346,0.3541,0.3499,0.3401,0.3318,0.339,0.3513,0.3423,0.3359,0.3436
-0.1645,-0.1506,-0.1792,0.3515,0.3548,0.3481,0.3578,0.3127,0.3289,0.3293,0.343,0.3395,0.3333,0.3315,0.3365,0.3359,0.3512,0.3419,0.3341,0.3488,0.343,0.3428,0.3424,0.3354
-0.1464,-0.1407,-0.1739,0.3539,0.3532,0.3462,0.3538,0.3252,0.3278,0.3309,0.3371,0.3346,0.3465,0.3449,0.3444,0.3436,0.343,0.3418,0.3338,0.3483,0.3487,0.3372,0.3351,0.3469
