"Npop2","Npop3","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12","Npop13","Npop14","Npop15","Npop16","Npop17","Npop18","Npop19","Npop20","Npop21","Npop22","Npop23","Npop24","Npop25","Npop26"
-0.1009,-0.5651,0.2547,0.3532,0.3593,0.3186,0.3493,0.3557,0.3246,0.2979,0.3496,0.3266,0.3364,0.3518,0.3594,0.3336,0.3348,0.3363,0.3523,0.332,0.3419,0.336,0.3306,0.3413
0.3307,-0.1801,0.3883,0.3526,0.3676,0.3328,0.3863,0.299,0.3018,0.3719,0.3219,0.3287,0.3318,0.3048,0.3483,0.3622,0.3434,0.3609,0.3242,0.3457,0.3338,0.3505,0.3419,0.3388
-0.1847,-0.3544,0.3689,0.3142,0.3524,0.3545,0.3352,0.3904,0.378,0.3199,0.3186,0.3666,0.3249,0.3282,0.3499,0.3269,0.3533,0.3364,0.3328,0.3312,0.338,0.3424,0.3414,0.3309
0.3564,-0.1577,0.3512,-0.2652,0.3756,0.3781,0.3573,0.3002,0.3759,0.3054,0.3375,0.3381,0.31,0.3442,0.3502,0.3527,0.3496,0.3569,0.365,0.3405,0.3465,0.3346,0.345,0.3346
0.4637,-0.2064,0.399,0.2509,0.3225,0.3386,0.363,0.3187,0.3342,0.3589,0.3478,0.3194,0.3515,0.3556,0.328,0.3261,0.337,0.3633,0.3395,0.3455,0.3465,0.354,0.3472,0.3444
0.3569,0.3741,0.3513,0.3148,0.3097,0.3903,0.3536,0.3493,0.352,0.3215,0.3145,0.3278,0.3491,0.3397,0.3221,0.3374,0.3684,0.3289,0.3357,0.3431,0.3287,0.3346,0.326,0.3463
0.3566,0.4313,0.2317,0.2829,0.3539,0.3227,0.3586,0.3343,0.3527,0.3672,0.3234,0.3247,0.3691,0.3412,0.3381,0.34,0.358,0.3708,0.3363,0.3257,0.3325,0.3527,0.3359,0.344
-0.2976,0.3325,0.2408,0.3202,0.3622,0.3124,0.3529,0.3727,0.3289,0.3626,0.3439,0.3041,0.3302,0.3324,0.3423,0.3679,0.324,0.3638,0.3429,0.3345,0.3432,0.3438,0.3373,0.3415
0.3158,0.3357,0.3205,0.3846,0.3468,0.3015,0.3345,0.316,0.3545,0.3525,0.3519,0.3255,0.3499,0.3326,0.3224,0.3218,0.3655,0.3333,0.3521,0.3391,0.3515,0.3458,0.3339,0.3495
-0.099,0.1801,0.3462,0.2691,0.3798,0.4053,0.3391,0.3196,0.3179,0.3064,0.3637,0.3443,0.3624,0.3499,0.3737,0.354,0.3298,0.3417,0.3319,0.345,0.3402,0.3371,0.3414,0.3358
