PopID,Lat,Long,Elev,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,MAT,MWMT,MCMT,TD,MAP,AHM,DD_0,DD5,DD_18,DD18,NFFD,PAS,EMT,Eref,CMD
1,42,-124,595.95,9,10.4,11.4,14.3,18.3,22.6,26.7,25.9,24.7,18.3,11.9,10,0.8,1.9,2,2.9,5.6,8.8,10.9,11.1,10.3,7.4,4,2,4.9,6.1,6.7,8.6,12,15.7,18.8,18.5,17.5,12.9,8,6,457,369,380,211,145,60,15,42,89,227,490,503,9.8,14.7,25.1,18.3,1.6,3.5,10.3,7.3,5.7,9.1,17.7,12.8,1329,736,117,806,11.3,18.8,4.9,13.9,2988,7.1,65,2450,2611,186,304,61,-15.9,930,318
2,47,-124,5.325,7.8,10,11.2,13.3,16,18.4,20.2,20.6,20,16,11.2,8.1,1.5,2.2,2.4,3.9,6.3,9,10.3,10.6,9.1,6.5,3.9,2.2,4.6,6.1,6.8,8.6,11.2,13.7,15.2,15.6,14.5,11.2,7.5,5.2,289,237,215,140,91,59,40,46,94,178,292,301,8.6,13.5,19.8,15.7,2,4.2,10,6.5,5.3,8.9,14.9,11.1,826,446,145,564,10,15.6,4.6,11,1981,10.1,72,2009,2951,65,310,45,-14.7,690,158
3,49,-123,0.225,5.6,8.3,10.3,13.1,16.7,19.6,21.9,21.9,18.8,14,9,6,0.2,1.6,2.4,4.6,7.4,10.3,11.8,11.9,9.4,6.2,3.1,0.8,2.9,4.9,6.4,8.8,12.1,15,16.8,16.9,14.1,10.1,6.1,3.4,138,108,89,66,51,39,30,38,57,104,147,157,6.6,13.4,21.1,13.9,0.9,4.8,11.3,6.2,3.7,9.1,16.2,10.1,403,206,108,309,9.8,16.9,2.9,14,1025,19.3,104,2028,3072,90,301,38,-17.1,649,243
4,49.5,-125,1056.975,0.4,2.5,4.6,7.1,11.2,14.4,17.4,17.6,14.5,8.8,3.5,1.2,-6.1,-5.3,-4.5,-2.4,1,4.3,6.9,7.8,5.8,1.4,-3.3,-5.5,-2.8,-1.4,0,2.4,6.1,9.4,12.1,12.7,10.2,5.1,0.1,-2.1,446,376,332,171,102,70,49,86,103,370,538,453,1.4,7.6,16.5,8.9,-5.6,-2,6.3,1.3,-2.1,2.8,11.4,5.1,1275,605,205,1011,4.3,12.7,-2.8,15.5,3096,4.6,477,919,4988,11,180,1116,-29.2,510,66
5,53,-132,190.15,3.3,4.5,5.9,8.4,11.6,14.4,16.7,17.7,15.2,10.2,5.5,3.3,-1.3,-0.5,-0.2,1.2,3.6,6.6,9.1,9.8,7.9,4.5,1.1,-0.8,1,2,2.9,4.8,7.6,10.5,12.9,13.7,11.5,7.3,3.3,1.2,509,342,299,250,139,100,75,107,225,537,426,464,3.7,8.6,16.3,10.3,-0.9,1.5,8.5,4.5,1.4,5.1,12.4,7.4,1314,688,282,1187,6.6,13.7,1,12.7,3472,4.8,211,1198,4169,20,257,393,-20.2,469,7
6,53.5,-130,38.425,3.2,5,7,9.3,12.4,14.5,16.2,16.9,15,11.1,6.2,4,-1.5,-0.2,0.5,2.3,5.1,8.1,10.3,10.7,8.5,5.4,1.7,-0.4,0.8,2.4,3.7,5.8,8.7,11.3,13.3,13.8,11.8,8.3,4,1.8,300,265,242,221,162,138,114,142,249,424,370,345,4.1,9.6,15.9,10.8,-0.7,2.6,9.7,5.2,1.7,6.1,12.8,8,910,625,394,1043,7.1,13.8,0.8,13,2971,5.8,187,1325,3958,24,270,241,-20.7,445,0
7,60.5,-141,2314.55,-18.6,-14.4,-10.6,-3.1,-1.1,3.8,6.7,5.5,0.2,-5.3,-12.7,-16.8,-27,-22.2,-19.9,-14.6,-12.1,-6.8,-2.9,-3.1,-9.3,-13.6,-20.3,-24.7,-22.8,-18.3,-15.3,-8.9,-6.6,-1.5,1.9,1.2,-4.6,-9.5,-16.5,-20.7,451,400,353,343,341,297,362,466,736,842,589,574,-16.6,-4.9,5.3,-6,-24.7,-15.6,-4.3,-14.4,-20.6,-10.2,0.5,-10.2,1425,1037,1126,2167,-10.1,1.9,-22.8,24.7,5754,0,3802,42,10247,0,8,5143,-53.4,94,0
8,62,-146,664.225,-15.7,-9.8,-2.9,4.2,11.3,17.3,19.5,17.6,11.3,1,-9.8,-14.9,-26.6,-22.6,-17.3,-8.8,-1.2,4.3,6.4,4.1,-0.7,-8.2,-19.8,-25.1,-21.2,-16.2,-10.1,-2.3,5,10.8,12.9,10.8,5.3,-3.6,-14.8,-20,16,18,11,8,19,52,57,49,38,32,23,35,-13.5,4.2,18.1,0.8,-24.8,-9.1,4.9,-9.5,-19.1,-2.5,11.5,-4.4,69,38,158,93,-3.6,12.9,-21.2,34.1,358,17.9,2745,710,7857,7,108,157,-53.2,363,153
9,61,-147,7.1,-2.4,-1.1,2.7,6.4,10.8,14.8,17,16.2,12.3,6.4,0.6,-1.7,-8,-8,-5.1,-1.8,2.1,6.5,8.9,8.3,4.8,0.4,-5.1,-7.4,-5.2,-4.5,-1.2,2.3,6.4,10.7,13,12.2,8.5,3.4,-2.2,-4.5,286,214,202,169,198,152,192,345,408,421,272,360,-1.8,6.7,16,6.4,-7.8,-1.6,7.9,0,-4.8,2.5,12,3.2,860,569,690,1100,3.2,13,-5.2,18.2,3219,4.1,743,896,5374,11,175,1172,-32.4,350,0
10,60,-153,1059.25,-7.1,-6,-5.4,-0.5,5.2,10.5,11.6,11.5,6.7,-0.2,-5.1,-9,-16,-14.5,-13.7,-7.8,-2.3,1.4,3.1,3.4,0,-6.5,-12.4,-17.8,-11.6,-10.2,-9.6,-4.2,1.4,6,7.4,7.5,3.4,-3.3,-8.7,-13.4,183,121,159,155,222,130,207,273,351,256,197,187,-7.4,-0.2,11.2,0.5,-16.1,-8,2.7,-6.3,-11.7,-4.1,6.9,-2.9,491,537,610,805,-2.9,7.5,-13.4,20.8,2443,2.9,1941,278,7630,1,96,1564,-48.6,252,0
