"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.1502,-0.1703,-0.1714,-0.1648,-0.1581,-0.1646,-0.1644,-0.1642,-0.1649
-0.1838,-0.1574,-0.1514,-0.1687,-0.1657,-0.1624,-0.1595,-0.1635,-0.1649
-0.1401,-0.1461,-0.1733,-0.1674,-0.156,-0.1636,-0.1668,-0.1629,-0.1649
-0.1607,-0.1617,-0.178,-0.1824,-0.1721,-0.1589,-0.1694,-0.1629,-0.1649
-0.1806,-0.1863,-0.16,-0.1554,-0.1758,-0.1616,-0.1618,-0.1628,-0.1649
-0.1734,-0.1775,-0.17,-0.17,-0.1634,-0.1635,-0.1676,-0.1629,-0.1649
-0.1734,-0.168,-0.1581,-0.17,-0.1693,-0.1651,-0.1604,-0.1629,-0.1649
-0.1514,-0.1635,-0.1718,-0.1649,-0.1622,-0.1599,-0.1685,-0.1679,-0.1649
-0.1736,-0.1725,-0.1711,-0.1544,-0.16,-0.1692,-0.1751,-0.1679,-0.1649
-0.1643,-0.1699,-0.1755,-0.154,-0.1622,-0.1625,-0.1617,-0.1635,-0.1649
-0.1701,-0.1459,-0.1566,-0.1594,-0.1682,-0.1579,-0.1635,-0.1657,-0.1649
-0.1333,-0.1844,-0.1702,-0.152,-0.1655,-0.174,-0.1661,-0.165,-0.1649
-0.1731,-0.1636,-0.1718,-0.1517,-0.1732,-0.1758,-0.1609,-0.165,-0.1649
-0.1833,-0.1834,-0.1654,-0.1691,-0.1569,-0.1618,-0.1609,-0.1629,-0.1649
-0.1838,-0.1659,-0.1783,-0.1582,-0.1626,-0.1606,-0.1652,-0.1636,-0.1649
-0.1765,-0.1547,-0.1486,-0.1677,-0.1669,-0.1579,-0.1613,-0.1628,-0.1649
-0.146,-0.1614,-0.164,-0.1491,-0.1714,-0.1691,-0.1684,-0.1642,-0.1649
-0.1333,-0.1614,-0.1583,-0.1687,-0.1668,-0.1644,-0.1595,-0.162,-0.1649
-0.1428,-0.1768,-0.1623,-0.1766,-0.1742,-0.1587,-0.1659,-0.1709,-0.1649
-0.1734,-0.1481,-0.1505,-0.1594,-0.1614,-0.1672,-0.1602,-0.162,-0.1649
-0.1502,-0.1639,-0.1486,-0.1674,-0.1661,-0.1701,-0.1695,-0.1642,-0.1649
-0.1502,-0.168,-0.1696,-0.1606,-0.1714,-0.1589,-0.1694,-0.1636,-0.1649
-0.1731,-0.1592,-0.1582,-0.1686,-0.1682,-0.1644,-0.1693,-0.162,-0.1649
-0.1849,-0.1746,-0.1591,-0.1633,-0.1701,-0.1589,-0.1661,-0.1657,-0.1649
-0.1428,-0.1703,-0.1519,-0.1623,-0.1655,-0.174,-0.1602,-0.1679,-0.1649
-0.1607,-0.1678,-0.1618,-0.1742,-0.1569,-0.1579,-0.1628,-0.162,-0.1649
-0.1765,-0.1562,-0.1598,-0.1491,-0.16,-0.1644,-0.1609,-0.165,-0.1649
-0.1502,-0.1479,-0.167,-0.1771,-0.1693,-0.171,-0.165,-0.1635,-0.1649
-0.1701,-0.1459,-0.1805,-0.1742,-0.1679,-0.1596,-0.1684,-0.1629,-0.1649
-0.1849,-0.1371,-0.1535,-0.1569,-0.1546,-0.1589,-0.1611,-0.1636,-0.1649
-0.1422,-0.1597,-0.163,-0.1676,-0.1603,-0.1728,-0.1693,-0.1679,-0.1649
-0.1665,-0.1597,-0.1654,-0.1532,-0.1583,-0.1694,-0.1609,-0.1657,-0.1649
-0.1806,-0.1838,-0.1771,-0.1635,-0.159,-0.1653,-0.1604,-0.1642,-0.1649
-0.1731,-0.1521,-0.1689,-0.1555,-0.1702,-0.1646,-0.1661,-0.1629,-0.1649
-0.1428,-0.1579,-0.1637,-0.1637,-0.1792,-0.1722,-0.1644,-0.162,-0.1649
-0.188,-0.1723,-0.165,-0.1662,-0.1602,-0.1587,-0.1644,-0.1629,-0.1649
-0.1685,-0.1693,-0.1518,-0.154,-0.1702,-0.1653,-0.1613,-0.1629,-0.1649
-0.1577,-0.1816,-0.1602,-0.1638,-0.1548,-0.1596,-0.1667,-0.1642,-0.1649
-0.1637,-0.1613,-0.1566,-0.1665,-0.1747,-0.1711,-0.1613,-0.165,-0.1649
-0.1667,-0.1563,-0.179,-0.1556,-0.1639,-0.1692,-0.1727,-0.162,-0.1649
-0.1571,-0.1613,-0.1737,-0.1554,-0.177,-0.1617,-0.171,-0.162,-0.1649
-0.1685,-0.1703,-0.1625,-0.1677,-0.1747,-0.1701,-0.1695,-0.1642,-0.1649
-0.1551,-0.1545,-0.1553,-0.1579,-0.1644,-0.1582,-0.1617,-0.1635,-0.1649
-0.1803,-0.154,-0.1548,-0.1528,-0.1667,-0.1636,-0.1695,-0.1709,-0.1649
-0.1875,-0.1618,-0.1579,-0.1665,-0.1679,-0.1651,-0.1635,-0.1629,-0.1649
-0.1428,-0.1713,-0.169,-0.1666,-0.167,-0.1596,-0.1628,-0.165,-0.1649
-0.1731,-0.1723,-0.167,-0.1766,-0.1568,-0.1636,-0.1635,-0.165,-0.1649
-0.1777,-0.1559,-0.1737,-0.1689,-0.1689,-0.1666,-0.1652,-0.1709,-0.1649
-0.188,-0.1843,-0.1584,-0.1554,-0.1582,-0.1766,-0.1611,-0.1629,-0.1649
-0.1736,-0.1703,-0.1685,-0.1796,-0.1635,-0.1671,-0.1594,-0.1636,-0.1649
-0.1673,-0.172,-0.1731,-0.1679,-0.1735,-0.1728,-0.1685,-0.162,-0.1649
-0.1803,-0.1499,-0.1703,-0.1648,-0.168,-0.1766,-0.1661,-0.1679,-0.1649
-0.1765,-0.1725,-0.1729,-0.1739,-0.1725,-0.1711,-0.1613,-0.1709,-0.1649
-0.1428,-0.1576,-0.1803,-0.1596,-0.1721,-0.1577,-0.1659,-0.1629,-0.1649
-0.1673,-0.1683,-0.1536,-0.1592,-0.1778,-0.1681,-0.165,-0.1629,-0.1649
-0.1607,-0.1768,-0.1721,-0.1782,-0.1632,-0.1686,-0.1594,-0.1679,-0.1649
-0.1849,-0.1767,-0.1668,-0.1795,-0.158,-0.1673,-0.166,-0.1636,-0.1649
-0.1502,-0.1499,-0.1653,-0.1635,-0.1682,-0.1721,-0.1702,-0.1642,-0.1649
-0.1701,-0.1713,-0.1623,-0.1608,-0.1571,-0.1597,-0.1684,-0.1635,-0.1649
-0.1571,-0.1767,-0.1749,-0.1714,-0.1801,-0.1587,-0.1659,-0.1628,-0.1649
-0.1802,-0.1434,-0.1782,-0.1674,-0.1767,-0.1596,-0.1635,-0.165,-0.1649
-0.1685,-0.1371,-0.1536,-0.1705,-0.1722,-0.1676,-0.1684,-0.1709,-0.1649
-0.16,-0.1518,-0.1581,-0.162,-0.1691,-0.1685,-0.1661,-0.1628,-0.1649
-0.16,-0.1797,-0.1753,-0.1631,-0.1659,-0.1703,-0.1693,-0.1628,-0.1649
-0.1607,-0.1574,-0.1514,-0.1736,-0.1567,-0.1633,-0.1702,-0.1657,-0.1649
-0.1735,-0.1745,-0.1699,-0.1784,-0.1644,-0.1626,-0.1611,-0.1657,-0.1649
-0.1803,-0.1703,-0.1603,-0.1638,-0.1602,-0.1609,-0.1644,-0.1642,-0.1649
-0.1777,-0.1415,-0.1634,-0.157,-0.1679,-0.1646,-0.1684,-0.1709,-0.1649
-0.1456,-0.1613,-0.1633,-0.1702,-0.1578,-0.1691,-0.1627,-0.1642,-0.1649
-0.1485,-0.1656,-0.1822,-0.1554,-0.169,-0.1618,-0.1685,-0.1635,-0.1649
-0.1685,-0.1541,-0.1803,-0.1689,-0.1703,-0.1692,-0.1652,-0.1635,-0.1649
-0.1685,-0.1523,-0.1624,-0.1579,-0.1548,-0.1711,-0.1668,-0.1636,-0.1649
-0.1803,-0.1521,-0.1711,-0.1665,-0.1655,-0.157,-0.166,-0.1628,-0.1649
-0.1551,-0.1591,-0.1587,-0.1569,-0.1612,-0.1579,-0.1694,-0.1635,-0.1649
-0.1514,-0.1838,-0.182,-0.1756,-0.1615,-0.1582,-0.1613,-0.1642,-0.1649
-0.1698,-0.1703,-0.1782,-0.1676,-0.1745,-0.1589,-0.1635,-0.1636,-0.1649
-0.1422,-0.1545,-0.165,-0.1646,-0.1558,-0.1606,-0.1643,-0.1642,-0.1649
-0.1401,-0.1816,-0.1653,-0.1766,-0.1636,-0.1589,-0.1635,-0.162,-0.1649
-0.1735,-0.1693,-0.1587,-0.1493,-0.1569,-0.1609,-0.1635,-0.1628,-0.1649
-0.1792,-0.1683,-0.1721,-0.1638,-0.1691,-0.1778,-0.1594,-0.162,-0.1649
-0.16,-0.1742,-0.1634,-0.1679,-0.167,-0.1626,-0.1635,-0.1709,-0.1649
-0.1838,-0.1618,-0.1637,-0.1529,-0.1758,-0.1673,-0.162,-0.1642,-0.1649
-0.1333,-0.1591,-0.1767,-0.1739,-0.1755,-0.1597,-0.1668,-0.165,-0.1649
-0.1485,-0.1765,-0.1519,-0.1636,-0.1603,-0.1587,-0.1604,-0.1628,-0.1649
-0.1702,-0.1521,-0.1684,-0.1756,-0.1711,-0.1766,-0.1702,-0.1628,-0.1649
-0.1401,-0.1771,-0.158,-0.1726,-0.1602,-0.1571,-0.1611,-0.1679,-0.1649
-0.1235,-0.1723,-0.1483,-0.177,-0.1747,-0.1625,-0.1718,-0.165,-0.1649
-0.1607,-0.1541,-0.16,-0.1567,-0.1702,-0.1618,-0.1628,-0.1635,-0.1649
-0.1551,-0.1499,-0.1603,-0.1729,-0.1734,-0.1728,-0.165,-0.1628,-0.1649
-0.1803,-0.1409,-0.1704,-0.1557,-0.1567,-0.1599,-0.1619,-0.1709,-0.1649
-0.1667,-0.1812,-0.1737,-0.1716,-0.1643,-0.1731,-0.1668,-0.1679,-0.1649
-0.1702,-0.1437,-0.1638,-0.1591,-0.156,-0.1644,-0.1661,-0.1635,-0.1649
-0.1607,-0.1795,-0.1668,-0.1807,-0.1658,-0.1778,-0.1652,-0.1657,-0.1649
-0.1333,-0.1703,-0.1566,-0.1596,-0.1742,-0.1569,-0.1668,-0.1635,-0.1649
-0.1607,-0.1834,-0.1803,-0.1807,-0.1537,-0.1644,-0.1718,-0.1628,-0.1649
-0.1765,-0.1693,-0.1518,-0.1546,-0.1666,-0.1591,-0.165,-0.1642,-0.1649
-0.1514,-0.1744,-0.1653,-0.1693,-0.1666,-0.1686,-0.1685,-0.1636,-0.1649
-0.1551,-0.1541,-0.1704,-0.1582,-0.1578,-0.1635,-0.1702,-0.1709,-0.1649
-0.1698,-0.1437,-0.1619,-0.1517,-0.1702,-0.1685,-0.1727,-0.165,-0.1649
-0.1605,-0.1477,-0.1655,-0.166,-0.1649,-0.1596,-0.1602,-0.1635,-0.1649
-0.1456,-0.1703,-0.1518,-0.1718,-0.1537,-0.1569,-0.1627,-0.1629,-0.1649
-0.1514,-0.1499,-0.1802,-0.1517,-0.1602,-0.1617,-0.1652,-0.1636,-0.1649
-0.1637,-0.1718,-0.1736,-0.1651,-0.1569,-0.1626,-0.1702,-0.1635,-0.1649
-0.1736,-0.1838,-0.1722,-0.1717,-0.1603,-0.1671,-0.1628,-0.1709,-0.1649
