"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
-0.2409,-0.2325,-0.3471,-0.3375,-0.3331,-0.264,-0.2577,-0.2753,-0.275
-0.2295,-0.283,-0.3253,-0.2402,-0.2651,-0.2542,-0.2701,-0.296,-0.275
-0.2409,-0.2658,-0.2929,-0.2539,-0.2924,-0.2959,-0.2561,-0.263,-0.275
-0.3452,-0.2019,-0.2524,-0.2633,-0.3037,-0.2731,-0.299,-0.263,-0.275
-0.3562,-0.2638,-0.2413,-0.2503,-0.2379,-0.2628,-0.2586,-0.2753,-0.275
-0.2592,-0.371,-0.2679,-0.3018,-0.3116,-0.2492,-0.2841,-0.263,-0.275
-0.3545,-0.224,-0.2626,-0.2559,-0.2283,-0.3078,-0.3079,-0.2956,-0.275
-0.3615,-0.3262,-0.3094,-0.2288,-0.2737,-0.2875,-0.293,-0.2651,-0.275
-0.2159,-0.3735,-0.2529,-0.2335,-0.2487,-0.2539,-0.2701,-0.2705,-0.275
-0.2071,-0.2326,-0.2913,-0.29,-0.2718,-0.2804,-0.2721,-0.2701,-0.275
-0.2306,-0.2144,-0.29,-0.2228,-0.2804,-0.2959,-0.2511,-0.2701,-0.275
-0.1724,-0.2095,-0.3253,-0.2883,-0.2762,-0.2408,-0.2933,-0.2829,-0.275
-0.1945,-0.3258,-0.2948,-0.2509,-0.2375,-0.2539,-0.2846,-0.271,-0.275
-0.2947,-0.282,-0.3281,-0.3392,-0.2815,-0.2952,-0.285,-0.271,-0.275
-0.3626,-0.4038,-0.2956,-0.2507,-0.3265,-0.2642,-0.2937,-0.2753,-0.275
-0.3562,-0.1847,-0.2639,-0.2601,-0.3047,-0.2789,-0.2566,-0.271,-0.275
-0.2064,-0.2599,-0.2115,-0.2627,-0.2416,-0.324,-0.2566,-0.296,-0.275
-0.3545,-0.2973,-0.2929,-0.2567,-0.3047,-0.3145,-0.2573,-0.2701,-0.275
-0.2926,-0.3275,-0.2503,-0.2648,-0.2947,-0.2642,-0.2697,-0.2956,-0.275
-0.2889,-0.4038,-0.2357,-0.2731,-0.2651,-0.2813,-0.2488,-0.2701,-0.275
-0.2144,-0.3736,-0.3538,-0.2563,-0.2615,-0.2639,-0.2617,-0.2753,-0.275
-0.3562,-0.267,-0.29,-0.2893,-0.2809,-0.2727,-0.2837,-0.2753,-0.275
-0.3653,-0.2449,-0.3096,-0.2559,-0.2557,-0.244,-0.2641,-0.2651,-0.275
-0.3983,-0.3493,-0.2284,-0.2224,-0.2827,-0.244,-0.2721,-0.2634,-0.275
-0.2592,-0.302,-0.2785,-0.2766,-0.3132,-0.2792,-0.2787,-0.2701,-0.275
-0.2144,-0.3263,-0.2891,-0.2609,-0.2324,-0.2737,-0.299,-0.271,-0.275
-0.3983,-0.371,-0.3249,-0.287,-0.262,-0.2628,-0.293,-0.263,-0.275
-0.3512,-0.2099,-0.2929,-0.2423,-0.3139,-0.3072,-0.3084,-0.2705,-0.275
-0.1949,-0.2423,-0.235,-0.2743,-0.2847,-0.2823,-0.3079,-0.2829,-0.275
-0.3512,-0.3646,-0.2768,-0.2123,-0.2666,-0.313,-0.2928,-0.271,-0.275
-0.2403,-0.3263,-0.2676,-0.3387,-0.2323,-0.2971,-0.3237,-0.263,-0.275
-0.2152,-0.2992,-0.247,-0.2649,-0.2639,-0.2539,-0.2622,-0.2701,-0.275
-0.3346,-0.2862,-0.3471,-0.2626,-0.247,-0.2867,-0.2933,-0.2634,-0.275
-0.3452,-0.2884,-0.2004,-0.2519,-0.3135,-0.3315,-0.2622,-0.2753,-0.275
-0.297,-0.2778,-0.3224,-0.3001,-0.2658,-0.2489,-0.2573,-0.2956,-0.275
-0.2889,-0.2796,-0.2471,-0.2431,-0.2916,-0.2632,-0.2924,-0.2956,-0.275
-0.3346,-0.224,-0.2911,-0.2609,-0.2738,-0.2654,-0.299,-0.2753,-0.275
-0.2889,-0.259,-0.292,-0.2954,-0.3359,-0.2804,-0.279,-0.271,-0.275
