"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.0183,0.075,0.0624,0.0559,0.0684,0.0591,0.0345,0.0562,0.053
0.0205,0.0939,0.056,0.0477,0.0664,0.0459,0.0575,0.0484,0.053
0.0562,0.0781,0.0611,0.0691,0.0655,0.041,0.056,0.0545,0.053
0.0313,0.024,0.0366,0.0482,0.053,0.0622,0.0568,0.0545,0.053
0.0373,0.0339,0.0501,0.0429,0.0631,0.0537,0.06,0.056,0.053
0.0477,0.0491,0.0413,0.0363,0.0673,0.0352,0.0581,0.0545,0.053
0.0477,0.0899,0.0376,0.0363,0.0622,0.0631,0.0579,0.0545,0.053
0.0281,0.0257,0.0609,0.0451,0.0651,0.0514,0.0549,0.0546,0.053
0.0122,0.0193,0.0657,0.0759,0.0649,0.0623,0.0556,0.0546,0.053
0.0435,0.0997,0.0422,0.064,0.0651,0.0455,0.0597,0.0484,0.053
0.0498,0.0401,0.0858,0.0417,0.0538,0.0622,0.0583,0.0406,0.053
0.096,0.0512,0.0341,0.0599,0.0441,0.043,0.0565,0.0569,0.053
0.0953,0.0661,0.0484,0.0452,0.0648,0.0606,0.0593,0.0569,0.053
0.0235,0.0423,0.0638,0.0718,0.0577,0.0399,0.0593,0.0545,0.053
0.0205,0.0438,0.0358,0.0577,0.0529,0.0354,0.0424,0.0536,0.053
0.0846,0.025,0.0332,0.0739,0.0416,0.051,0.049,0.056,0.053
0.0376,0.0283,0.0228,0.0737,0.0457,0.06,0.0592,0.0562,0.053
0.096,0.0283,0.0311,0.0477,0.0451,0.0609,0.0575,0.0551,0.053
0.0226,0.0411,0.0375,0.0431,0.0646,0.0608,0.0583,0.0533,0.053
0.0477,0.0364,0.0341,0.0417,0.0527,0.0618,0.0554,0.0551,0.053
0.0183,0.0683,0.0535,0.0691,0.0613,0.0445,0.0554,0.0562,0.053
0.0183,0.0899,0.0673,0.0748,0.0457,0.0628,0.0568,0.0536,0.053
0.0953,0.0583,0.0443,0.0633,0.0538,0.0609,0.0404,0.0551,0.053
0.0723,0.0377,0.0776,0.0501,0.0692,0.0622,0.0565,0.0406,0.053
0.0226,0.0357,0.0624,0.0444,0.0568,0.0584,0.0506,0.0546,0.053
0.0313,0.0306,0.0331,0.0392,0.0577,0.0622,0.0588,0.0551,0.053
0.0846,0.0616,0.0301,0.0737,0.0565,0.0376,0.0593,0.0569,0.053
0.0183,0.067,0.0356,0.0371,0.0622,0.0527,0.0575,0.0484,0.053
0.0498,0.0401,0.0438,0.056,0.0568,0.055,0.0592,0.0545,0.053
0.0723,0.039,0.065,0.0364,0.0672,0.0527,0.0574,0.0536,0.053
0.0823,0.0406,0.0404,0.0468,0.0484,0.0581,0.0404,0.0546,0.053
0.0768,0.0406,0.0638,0.032,0.0555,0.0603,0.0593,0.0406,0.053
0.0373,0.0316,0.0829,0.0682,0.0704,0.0511,0.0579,0.0562,0.053
0.0198,0.0272,0.0463,0.0466,0.0347,0.0591,0.0565,0.0545,0.053
0.0226,0.023,0.0244,0.0295,0.0418,0.0356,0.0388,0.0551,0.053
0.0299,0.0975,0.0374,0.0346,0.0449,0.0642,0.0388,0.0545,0.053
0.1034,0.0701,0.0416,0.064,0.0347,0.0627,0.049,0.0545,0.053
0.0554,0.0305,0.0653,0.067,0.0654,0.0447,0.0495,0.0562,0.053
0.0803,0.0408,0.0341,0.0572,0.0642,0.0582,0.049,0.0569,0.053
0.1353,0.0573,0.0401,0.0468,0.0631,0.0418,0.0392,0.0551,0.053
0.0583,0.0408,0.0627,0.048,0.0405,0.0363,0.0576,0.0551,0.053
0.1034,0.0397,0.0351,0.0739,0.0642,0.0618,0.0554,0.0562,0.053
0.0197,0.0396,0.0364,0.0423,0.0344,0.0515,0.0597,0.0484,0.053
0.0509,0.0637,0.0699,0.051,0.0556,0.041,0.0554,0.0533,0.053
0.048,0.0751,0.057,0.0572,0.0568,0.0631,0.0583,0.0545,0.053
0.0226,0.08,0.0284,0.0567,0.064,0.055,0.0588,0.0569,0.053
0.0198,0.0576,0.0387,0.0758,0.0565,0.0451,0.0521,0.0569,0.053
0.0249,0.0626,0.0355,0.0466,0.0674,0.058,0.0424,0.0533,0.053
0.0299,0.0558,0.0574,0.048,0.0433,0.061,0.0511,0.0545,0.053
0.0122,0.0426,0.0821,0.0461,0.0463,0.0537,0.0588,0.0536,0.053
0.0212,0.0743,0.0344,0.0337,0.0517,0.0581,0.0549,0.0551,0.053
0.0509,0.0307,0.0615,0.0338,0.0648,0.061,0.0565,0.0546,0.053
0.0846,0.0193,0.0857,0.0436,0.0636,0.0582,0.056,0.0533,0.053
0.0226,0.0724,0.0455,0.0544,0.053,0.0642,0.0583,0.0545,0.053
0.0212,0.0401,0.0844,0.0741,0.0678,0.0638,0.0575,0.0545,0.053
0.0313,0.0768,0.0376,0.0729,0.0579,0.0562,0.0588,0.0546,0.053
0.0723,0.0185,0.0384,0.0321,0.0317,0.0502,0.0441,0.0536,0.053
0.0183,0.0307,0.0385,0.0334,0.0538,0.0327,0.0532,0.0562,0.053
