"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10"
0.243,0.0619,0.0362,0.0591,0.0568,0.1033,0.086,0.0952,0.087
0.2556,0.1986,0.0363,0.1114,0.0455,0.1015,0.1034,0.0519,0.087
0.243,0.0216,0.1594,0.1176,0.1054,0.108,0.0952,0.0872,0.087
0.1093,0.0237,0.0884,0.0525,0.1243,0.1137,0.0561,0.0872,0.087
0.0666,0.0267,0.1625,0.1377,0.1084,0.1084,0.0944,0.0952,0.087
0.0405,0.0693,0.0559,0.1458,0.1278,0.0959,0.1062,0.0872,0.087
0.0903,0.1642,0.1206,0.0485,0.0942,0.0562,0.0992,0.0895,0.087
0.0361,0.061,0.0575,0.1207,0.1009,0.102,0.096,0.0868,0.087
0.0525,0.0519,0.053,0.1248,0.1141,0.1064,0.1034,0.0932,0.087
0.0856,0.0456,0.1455,0.0619,0.0527,0.0442,0.097,0.0942,0.087
0.1107,0.1187,0.0795,0.0989,0.1111,0.108,0.0856,0.0942,0.087
0.1481,0.1422,0.035,0.0542,0.0563,0.0829,0.097,0.0958,0.087
0.1445,0.0632,0.1631,0.0921,0.1016,0.1064,0.0828,0.0915,0.087
0.0274,0.0835,0.0259,0.0488,0.1018,0.1107,0.0442,0.0915,0.087
0.0447,0.0617,0.0741,0.0467,0.0482,0.1123,0.0515,0.0952,0.087
0.0666,0.1312,0.0517,0.0482,0.1255,0.0546,0.0895,0.0915,0.087
0.2149,0.1664,0.1202,0.1209,0.1104,0.0517,0.0895,0.0519,0.087
0.0903,0.052,0.0524,0.0427,0.1255,0.0358,0.0909,0.0942,0.087
0.0523,0.0325,0.0475,0.1007,0.1155,0.1123,0.1041,0.0895,0.087
0.0669,0.0617,0.1653,0.0634,0.0455,0.0543,0.0808,0.0942,0.087
0.0594,0.0526,0.0674,0.1005,0.0941,0.1118,0.0965,0.0952,0.087
0.0666,0.0713,0.1706,0.0547,0.0548,0.0412,0.0911,0.0952,0.087
0.0047,0.0672,0.1806,0.0485,0.1107,0.0825,0.0961,0.0868,0.087
0.0774,0.0237,0.0868,0.1207,0.0545,0.0825,0.097,0.082,0.087
0.0405,0.0517,0.1203,0.0526,0.0403,0.1006,0.1042,0.0942,0.087
0.0594,0.0468,0.1618,0.1013,0.0972,0.1137,0.0561,0.0915,0.087
0.0774,0.0693,0.0584,0.0629,0.1171,0.1084,0.096,0.0872,0.087
0.0677,0.0485,0.1594,0.1202,0.0506,0.1095,0.0564,0.0932,0.087
0.0357,0.1386,0.1125,0.0604,0.1212,0.0522,0.0992,0.0958,0.087
0.0677,0.0865,0.0313,0.0983,0.041,0.0468,0.0557,0.0915,0.087
0.2671,0.0468,0.0577,0.0395,0.0933,0.0475,0.0474,0.0872,0.087
0.1274,0.0397,0.1216,0.1192,0.1023,0.1064,0.0913,0.0942,0.087
0.0495,0.2111,0.0362,0.0572,0.1093,0.049,0.097,0.082,0.087
0.1093,0.0411,0.1189,0.1386,0.126,0.0508,0.0913,0.0952,0.087
0.0079,0.0411,0.0573,0.0336,0.046,0.0997,0.0909,0.0895,0.087
0.0669,0.0286,0.1266,0.1295,0.0627,0.1079,0.0987,0.0895,0.087
0.0495,0.1642,0.165,0.1013,0.131,0.1074,0.0561,0.0952,0.087
0.0669,0.1567,0.0733,0.0711,0.0349,0.0442,0.1023,0.0915,0.087
0.0274,0.0411,0.1631,0.0488,0.0513,0.1025,0.0987,0.0519,0.087
0.0166,0.0286,0.0511,0.0364,0.1212,0.0907,0.0991,0.0915,0.087
0.0166,0.0619,0.0671,0.113,0.1179,0.1085,0.0557,0.0872,0.087
0.0245,0.1183,0.0448,0.1103,0.0575,0.1084,0.0998,0.0519,0.087
0.0245,0.0617,0.1506,0.0855,0.1098,0.1085,0.0474,0.0952,0.087
0.1445,0.0237,0.1194,0.1018,0.0567,0.1093,0.0895,0.0932,0.087
0.0862,0.1157,0.0336,0.1177,0.0325,0.1071,0.1042,0.0942,0.087
0.2149,0.0471,0.0454,0.1136,0.0921,0.0819,0.1042,0.0958,0.087
0.0856,0.0353,0.0411,0.1232,0.0527,0.1095,0.0561,0.0868,0.087
0.1048,0.0858,0.1371,0.1386,0.1054,0.0916,0.1062,0.0942,0.087
0.0447,0.0237,0.1472,0.0673,0.1127,0.1015,0.086,0.0932,0.087
0.0361,0.0865,0.0521,0.1013,0.1032,0.041,0.0505,0.0952,0.087
0.1048,0.2165,0.0573,0.13,0.1084,0.0965,0.0828,0.0942,0.087
0.1048,0.1664,0.0524,0.121,0.1171,0.1025,0.0991,0.0895,0.087
0.243,0.1564,0.1015,0.1319,0.103,0.1028,0.0952,0.0895,0.087
0.0134,0.0517,0.1388,0.1207,0.0844,0.0412,0.0505,0.0895,0.087
0.0495,0.0311,0.0408,0.107,0.1302,0.093,0.1034,0.0942,0.087
0.0275,0.0466,0.1349,0.13,0.1144,0.0475,0.0906,0.0952,0.087
0.0774,0.0717,0.07,0.1167,0.046,0.0556,0.086,0.0915,0.087
0.2149,0.0358,0.0312,0.1136,0.0601,0.0888,0.1053,0.0868,0.087
0.0623,0.0119,0.0551,0.1177,0.1278,0.0543,0.0905,0.0952,0.087
0.0575,0.1187,0.1219,0.0381,0.0517,0.049,0.0909,0.0932,0.087
0.0594,0.052,0.0388,0.1103,0.126,0.1017,0.0905,0.0895,0.087
0.0903,0.0336,0.063,0.0471,0.0874,0.1025,0.0474,0.0942,0.087
0.0903,0.0321,0.0884,0.0569,0.1287,0.1015,0.097,0.082,0.087
0.0594,0.1147,0.0527,0.1377,0.1278,0.1137,0.1034,0.0519,0.087
0.0495,0.0864,0.1179,0.0585,0.1018,0.061,0.094,0.0958,0.087
