PopID,Lat,Long,Elev,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Tmax_wt,Tmax_sp,Tmax_sm,Tmax_at,Tmin_wt,Tmin_sp,Tmin_sm,Tmin_at,Tave_wt,Tave_sp,Tave_sm,Tave_at,PPT_wt,PPT_sp,PPT_sm,PPT_at,MAT,MWMT,MCMT,TD,MAP,AHM,DD<0,DD>5,DD<18,DD>18,NFFD,PAS,EMT,Eref,CMD
1,56.7,13.25,173,-1.9,-1.9,0.6,4.4,10.3,14.5,15.7,14.7,11.6,7.9,2.9,-0.5,1.1,1.5,4.2,8,14.2,18.7,19.5,18.6,14.8,10.6,5.6,1.8,-4.9,-5.3,-2.9,0.7,6.4,10.3,11.9,10.8,8.3,5.1,0.2,-2.9,81,53,60,51,51,72,93,95,93,88,90,97,1.5,8.8,19,10.4,-4.3,1.4,11,4.6,-1.4,5.1,15,7.5,232,163,260,271,6.5,15.7,-1.9,17.6,927,17.8,300,1485,4216,22,231,146,-26.3,439,35
2,56.266667,15.177778,52.77777778,-1,-1,1.4,5.1,10.5,14.8,16.5,16.1,12.7,8.7,4.1,0.5,1,1.3,4.2,9,14.9,19.2,20.5,20.1,16,11.4,6.2,2.6,-3,-3.3,-1.5,1.3,6,10.3,12.4,12.1,9.3,6,2,-1.6,48,33,36,35,40,42,65,56,58,52,56,53,1.6,9.4,20,11.2,-2.7,1.9,11.6,5.8,-0.5,5.7,15.8,8.5,135,112,163,167,7.4,16.5,-1,17.5,577,30.2,237,1620,3925,55,251,67,-23.1,466,137
3,58,12.92,158.5,-3.2,-3.1,0.1,4.1,10.3,14.6,15.6,14.7,11.2,7.4,2.3,-1.6,-0.6,0.1,3.5,8.2,14.9,19.3,19.9,19.1,14.8,10.3,4.9,1,-5.8,-6.3,-3.4,0,5.6,9.8,11.3,10.3,7.6,4.4,-0.3,-4.2,70,45,50,48,52,65,79,82,87,88,88,79,0.2,8.9,19.4,10,-5.4,0.7,10.5,3.9,-2.6,4.8,15,7,194,150,226,263,6,15.6,-3.2,18.8,832,19.2,406,1451,4403,23,219,159,-28,450,62
4,57.79,15.28,219.5,-3.1,-3.5,-0.3,3.9,9.8,14.4,15.8,14.7,10.9,6.8,1.9,-2,-0.5,-0.4,3.1,8.3,15.3,19.9,20.8,19.5,14.8,9.9,4.3,0.6,-5.6,-6.5,-3.7,-0.4,4.4,8.9,10.8,9.8,7,3.7,-0.5,-4.6,46,35,33,37,44,49,71,68,62,55,57,52,-0.1,8.9,20.1,9.7,-5.5,0.1,9.8,3.4,-2.8,4.5,14.9,6.5,133,114,188,174,5.8,15.8,-3.5,19.3,610,25.9,433,1410,4491,17,212,118,-27.8,457,126
5,59.6,11.97,84.4,-4.2,-4.4,-0.6,4,10.3,15.1,16,15.1,11,6.8,1.4,-2.9,-1.7,-1.6,2.5,7.9,14.8,19.6,20.3,19.2,14.5,9.6,3.7,-0.3,-6.6,-7.2,-3.7,0.2,5.7,10.5,11.8,11.1,7.6,4.1,-1,-5.5,53,40,43,46,52,73,79,87,83,85,81,62,-1.2,8.4,19.7,9.2,-6.4,0.7,11.1,3.6,-3.8,4.6,15.4,6.4,155,141,239,249,5.6,16,-4.4,20.4,782,19.9,529,1471,4540,39,214,164,-29.5,412,50
6,59.82,17.91,17,-4.1,-4.2,-0.8,4.3,10.4,15.6,16.8,15.7,11.6,7.1,1.8,-2.2,-1.7,-1.5,2.2,8.3,15.4,20.6,21.1,19.8,14.8,9.7,4,0.4,-6.4,-6.9,-3.8,0.4,5.3,10.6,12.4,11.7,8.3,4.5,-0.4,-4.7,40,28,27,31,32,46,70,69,57,51,53,47,-0.9,8.6,20.5,9.5,-6,0.6,11.6,4.2,-3.5,4.6,16.1,6.8,115,90,185,161,6,16.8,-4.2,21,551,29,502,1558,4405,61,219,108,-28.8,424,126
7,61.22,13.98,354.5,-8.2,-7.5,-3.2,1.7,8.3,13.3,14.6,13.2,8.6,4.2,-2.2,-6.5,-4.8,-3.6,0.8,6.1,13.7,18.7,19.6,17.9,12.4,7.3,0.5,-3.2,-11.7,-11.5,-7.3,-2.6,2.9,8,9.6,8.5,4.9,1.1,-4.9,-9.8,41,31,31,41,48,72,90,82,72,56,55,47,-3.9,6.9,18.7,6.7,-11,-2.3,8.7,0.4,-7.4,2.3,13.7,3.5,120,120,244,183,3,14.6,-8.2,22.8,668,19.5,986,1129,5484,0,173,205,-36.8,399,44
8,61.74,16.71,98.5,-8.5,-7.3,-2.7,2.6,8.6,14.1,15.5,14.1,9.7,5.1,-1.5,-6.3,-4.6,-2.9,1.5,6.9,14.1,19.7,20.5,18.9,13.6,8.4,1.4,-2.7,-12.3,-11.7,-6.9,-1.8,3,8.6,10.5,9.3,5.7,1.8,-4.4,-9.8,47,36,35,41,41,54,74,81,72,56,61,53,-3.4,7.5,19.7,7.8,-11.3,-1.9,9.5,1,-7.3,2.8,14.6,4.4,135,117,209,189,3.6,15.5,-8.5,24,650,20.9,943,1254,5265,5,180,209,-36.9,411,93
9,64.36,16.42,382.5,-11.6,-9.7,-5.3,-0.1,6.3,11.9,13.3,11.6,7.1,2.6,-4.7,-9.3,-7.6,-5.2,-0.8,4.1,11.3,17,17.9,16,10.7,5.6,-1.6,-5.4,-15.7,-14.1,-9.9,-4.3,1.2,6.8,8.6,7.1,3.5,-0.4,-7.8,-13.2,40,30,30,30,38,56,88,69,59,48,47,44,-6.1,4.9,17,4.9,-14.3,-4.3,7.5,-1.6,-10.2,0.3,12.2,1.6,114,98,213,154,1,13.3,-11.6,24.9,578,19,1368,889,6217,0,152,226,-41.3,319,51
10,63.95,20.63,36.9,-10.3,-9.8,-5.2,1,7.4,13.6,15.7,13.9,9,3.6,-2.7,-7.5,-6.1,-5.3,-0.5,5.3,12.7,18.8,20.6,18.3,12.9,6.7,0.2,-3.5,-14.5,-14.3,-9.8,-3.2,2.2,8.4,10.9,9.5,5.2,0.5,-5.7,-11.5,46,35,33,33,35,41,57,71,64,53,63,51,-5,5.8,19.2,6.6,-13.5,-3.6,9.6,0,-9.2,1.1,14.4,3.3,132,101,168,180,2.4,15.7,-10.3,26,581,21.3,1213,1179,5705,0,167,233,-39.1,377,112
11,66.2,18.43,445.5,-14.4,-12.1,-7.6,-1.7,4.9,10.9,12.8,10.8,5.9,0.7,-7.4,-12,-9.8,-7.2,-2.4,2.7,9.8,16,17.6,15.2,9.5,3.6,-3.8,-7.5,-19,-17,-12.8,-6.1,0,5.7,8,6.3,2.2,-2.3,-11.1,-16.4,37,28,28,28,37,58,88,77,51,42,43,38,-8.2,3.3,16.3,3.1,-17.5,-6.3,6.7,-3.7,-12.8,-1.5,11.5,-0.3,103,94,223,137,-0.8,12.8,-14.4,27.2,557,16.5,1791,746,6856,0,135,238,-44.7,299,40
12,65.633333,22.2,13.33333333,-12.3,-11.9,-6.9,-0.5,5.9,12.8,15.2,13.7,8.6,2.9,-3.9,-9.1,-7.7,-7.2,-2.1,3.9,10.8,17.6,19.9,18,12.4,5.9,-0.5,-4.7,-16.9,-16.5,-11.8,-4.9,1,7.9,10.6,9.3,4.7,0,-7.3,-13.4,31,30,30,28,32,37,43,66,62,42,49,46,-6.6,4.2,18.5,5.9,-15.6,-5.2,9.3,-0.9,-11.1,-0.5,13.9,2.5,107,90,146,153,1.2,15.2,-12.3,27.5,495,22.6,1478,1072,6135,0,157,213,-41.1,321,115
