"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.0189,-0.0294,-0.0124,0.0017,0.0112,-0.0021,-0.0071,0.0118,0.0034,-0.0022,-0.001
0.0181,0.0115,0.0275,-0.0249,-0.0141,0.0133,-0.0058,0,5e-04,-0.002,-0.001
-0.0368,0.007,-0.0267,-0.002,0.0109,-0.0168,0.013,0.0016,0.0019,3e-04,-0.001
-0.0566,0.0033,-0.014,-0.0215,-0.028,9e-04,0.0092,0.0043,-0.001,-1e-04,-0.001
0.0165,0.0267,-0.0091,0.0262,-0.0121,-0.016,-0.0035,-0.0035,-8e-04,0.0013,-0.001
-0.0393,-0.0152,-0.0149,0.0268,-0.0023,-0.0011,2e-04,0.0113,-0.004,0.0062,-0.001
-0.0129,0.0074,-0.0188,0.0204,0.0138,0.0185,-0.0038,0.0029,0.0027,9e-04,-0.001
-0.0393,-0.0176,0.0129,0.0159,0.0018,-0.0064,-0.0084,7e-04,0.0095,-0.0022,-0.001
0.0165,0.0112,-0.0102,0.0134,-0.0189,0.0167,-0.0021,0.0107,1e-04,0.0062,-0.001
-0.0088,0.0026,-0.0396,-0.0145,0.0072,0.0078,0.0026,-0.002,-0.0109,0,-0.001
-5e-04,0.0285,0.0262,0.0194,-0.0167,0.0046,-0.0055,-0.0115,0.0026,-0.0057,-0.001
-0.0566,-0.0395,0.0023,-0.003,-0.0035,0.0039,-0.011,0.0028,0.0079,0.0062,-0.001
0,-0.0371,0.0018,0.0025,-0.0098,0.0029,-0.0027,-0.0137,-0.004,-0.008,-0.001
0.0133,0.0052,-0.0033,0.0205,-0.021,-0.0022,-0.0155,-0.0097,-0.0109,-0.0057,-0.001
0.0421,-0.0096,-0.0347,-0.0157,-0.0023,0.0045,-0.0094,0.0093,-0.0065,-0.0057,-0.001
-0.0233,-0.028,-0.0277,-0.0078,0.0043,-0.0058,0.0034,0.0063,0.0016,0.0021,-0.001
0.0232,-0.0409,-0.0185,0.0018,-0.0132,-0.0082,0.0056,0.0068,0.0016,-0.0057,-0.001
0.0602,0.0247,0.008,-0.0049,-0.0064,-0.0097,-0.0011,3e-04,-0.001,0,-0.001
-0.0544,-0.0098,-0.016,0.0043,-0.0241,0.0099,0.0034,-5e-04,-0.0033,0.0062,-0.001
-0.0172,0.0247,0.0029,-0.0118,0.0132,-0.0025,0.0172,0.0023,-0.0047,0,-0.001
-0.0233,-0.0443,-0.0098,-0.0017,-0.0097,-0.0075,-0.0063,0.001,-0.0032,-0.008,-0.001
-0.0066,0.0139,0.0058,-0.0016,-0.002,-0.0164,0.0031,0.0025,-0.0044,-1e-04,-0.001
0,0.0042,-0.0016,-0.029,0.0199,-0.0106,0.0062,0.0018,-0.001,-1e-04,-0.001
0.0165,-0.009,0.0187,0.0264,-0.0058,0.0074,0.0022,0.0028,0.0035,0.0013,-0.001
-0.0193,-0.0166,0.0063,0.0128,0.0066,-0.0053,-0.0076,0.0018,-0.0033,0.0062,-0.001
0.0296,-0.0152,-0.0198,0.006,0.0088,-0.0149,-0.0164,8e-04,-0.0097,-0.0054,-0.001
