"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
-0.01,-0.0027,0.009,8e-04,0.0021,0.0033,0.0029,0.0024,0.0034,0.0033,0.0037
-0.0103,0.006,0.0033,0.0043,0.0019,0.004,0.0042,0.0035,0.0018,0.003,0.0037
0.0225,-2e-04,0.007,0.0022,0.0013,0.0046,0.0024,0.0016,0.0052,0.0039,0.0037
0.0068,0.0036,-0.0072,0.0088,0.0086,0.0024,0.0027,0.0045,0.0033,0.0037,0.0037
0.0048,0.0028,0.0027,0.001,0.0038,0.0034,0.0021,0.0053,0.0033,0.0024,0.0037
0.001,0.0039,0.0079,-0.0013,0.0035,0.0043,0.0029,0.0041,0.0052,0.0039,0.0037
0.0103,0.0063,0.0032,0.0046,0.0056,0.0056,0.0043,0.0017,0.003,0.0037,0.0037
0.001,0.0129,0.005,5e-04,0.0047,0.0052,0.0055,0.0038,0.0025,0.0033,0.0037
0.0048,0.0067,0.004,0.0036,0.0058,0.0024,0.0055,0.005,0.003,0.0039,0.0037
0.0202,0.0092,0.0096,0.0034,0.0024,0.0058,0.0038,0.0037,0.0058,0.0041,0.0037
0.0011,-0.004,0.0092,0.0021,0.0046,8e-04,0.006,0.0049,0.0025,0.0051,0.0037
0.0068,0.0013,0.0043,0.0049,0.0039,0.0017,0.0045,0.0027,0.0039,0.0039,0.0037
-0.0018,0.0042,0.0088,6e-04,0.0068,0.005,0.0026,0.0045,0.0052,0.0037,0.0037
-0.0093,-0.0105,0.0013,6e-04,0.0054,0.0054,0.0034,0.0035,0.0058,0.0051,0.0037
0.0144,0.0081,0.0045,-0.0035,0.0065,0.0019,0.0059,0.0022,0.0038,0.0051,0.0037
0.0099,0.0062,0.0038,0.004,0.0068,0.0036,0.005,0.0034,0.0045,0.0031,0.0037
0.0021,0.0049,0.0017,0.0073,0.0016,4e-04,0.0038,0.0019,0.0045,0.0051,0.0037
0.0033,0.0013,4e-04,0.0048,0.0031,0.0059,0.0013,0.0021,0.0033,0.0041,0.0037
0.0074,0.0103,0.0015,-8e-04,0.0064,0.0032,0.0038,0.0045,0.0027,0.0039,0.0037
