"Npop2","Npop3","Npop4","Npop5","Npop6","Npop7","Npop8","Npop9","Npop10","Npop11","Npop12"
0.0769,0.0524,0.1154,0.0906,0.0864,0.1103,0.1246,0.1171,0.0957,0.0852,0.1027
0.0704,0.0913,0.1055,0.0919,0.1254,0.0737,0.0714,0.1054,0.0891,0.0927,0.1027
0.2041,0.0578,0.1174,0.0964,0.1202,0.1168,0.1198,0.0995,0.0986,0.1051,0.1027
0.1957,0.0333,0.0517,0.0946,0.0977,0.0822,0.077,0.1145,0.087,0.0927,0.1027
0.1957,0.1314,0.1547,0.1238,0.0779,0.1151,0.1069,0.1177,0.0976,0.107,0.1027
0.1957,0.0188,0.1263,0.0915,0.1156,0.1259,0.1066,0.0924,0.1074,0.1076,0.1027
0.033,0.146,0.13,0.0998,0.1203,0.0761,0.1215,0.1051,0.1127,0.1079,0.1027
0.1495,0.1153,0.1201,0.1201,0.1275,0.1165,0.0993,0.0927,0.1141,0.1081,0.1027
3e-04,0.0188,0.1351,0.1159,0.0881,0.1053,0.0991,0.102,0.1074,0.0927,0.1027
0.1727,0.1316,0.0352,0.0332,0.121,0.1347,0.1229,0.1193,0.0952,0.1068,0.1027
0.0584,0.1323,0.1056,0.1002,0.1021,0.1187,0.1187,0.1046,0.1139,0.1076,0.1027
0.0588,0.0379,0.0377,0.1168,0.108,0.1243,0.1078,0.112,0.1119,0.1051,0.1027
0.0769,0.0362,0.1243,0.1135,0.1223,0.0346,0.1002,0.1037,0.1078,0.1061,0.1027
0.0995,0.0593,0.0517,0.0332,0.1396,0.1313,0.111,0.1124,0.0897,0.0927,0.1027
0.1698,0.1328,0.1351,0.1305,0.0844,0.0946,0.111,0.1168,0.0964,0.1061,0.1027
0.0182,0.0221,0.1215,0.0876,0.0316,0.1292,0.0985,0.0729,0.0952,0.1079,0.1027
0.2127,0.1521,0.1387,0.0886,0.088,0.0418,0.0867,0.1023,0.0981,0.1071,0.1027
0.0643,0.0535,0.113,0.1431,0.1169,0.1137,0.1192,0.1,0.0986,0.1071,0.1027
0.0697,0.0236,0.1006,0.0539,0.083,0.0926,0.1092,0.1163,0.0886,0.1079,0.1027
0.0717,0.1575,0.0483,0.132,0.0852,0.1077,0.0722,0.1212,0.0986,0.1051,0.1027
0.1087,0.138,0.0996,0.0327,0.1091,0.1159,0.1196,0.0927,0.0981,0.1068,0.1027
0.0701,0.1477,0.1076,0.13,0.0831,0.1205,0.1275,0.1008,0.1092,0.1048,0.1027
0.0769,0.1413,0.0936,0.143,0.1275,0.1041,0.1301,0.0807,0.1092,0.1071,0.1027
0.2127,0.0593,0.0558,0.1161,0.1248,0.0926,0.1096,0.1161,0.1074,0.0929,0.1027
-0.0032,0.1315,0.0322,0.0918,0.087,0.1155,0.1066,0.1162,0.1112,0.107,0.1027
0.0701,0.1616,0.1503,0.0526,0.0898,0.0809,0.1083,0.0996,0.1128,0.1079,0.1027
0.0432,0.0419,0.0348,0.1196,0.115,0.109,0.1229,0.101,0.0975,0.1048,0.1027
0.2021,0.1266,0.1379,0.04,0.1386,0.0802,0.0979,0.1202,0.0899,0.0852,0.1027
0.1449,0.1575,0.1329,0.0995,0.1236,0.0455,0.1089,0.1002,0.0889,0.107,0.1027
0.142,0.1587,0.1552,0.0379,0.1007,0.1226,0.1264,0.1165,0.1128,0.1048,0.1027
0.059,0.1402,0.0492,0.0945,0.0386,0.1001,0.1086,0.094,0.1146,0.0929,0.1027
0.0717,0.0356,0.1318,0.0482,0.1334,0.0757,0.1005,0.1001,0.1111,0.1076,0.1027
0.0704,0.1547,0.1014,0.1098,0.1154,0.1174,0.1076,0.0818,0.1109,0.0929,0.1027
0.0108,0.0356,0.1035,0.0914,0.0823,0.0877,0.1196,0.101,0.0952,0.1071,0.1027
0.0064,0.1587,0.1411,0.0866,0.04,0.0442,0.0877,0.1156,0.1102,0.1076,0.1027
0.0544,0.0913,0.1252,0.1305,0.1029,0.093,0.1091,0.0706,0.0975,0.107,0.1027
0.0588,0.1024,0.0971,0.0917,0.0444,0.0765,0.1057,0.0946,0.1109,0.107,0.1027
0.0701,0.054,0.1153,0.0873,0.1225,0.1187,0.1193,0.0928,0.0886,0.1076,0.1027
0.0567,0.1498,0.0492,0.1007,0.0868,0.1177,0.113,0.1189,0.0981,0.1079,0.1027
0.0285,0.039,0.1503,0.1294,0.1177,0.1278,0.1165,0.0953,0.1109,0.1081,0.1027
0.0376,0.0647,0.1084,0.0317,0.1262,0.096,0.0867,0.117,0.0898,0.1079,0.1027
0.2202,0.0181,0.1288,0.1431,0.1197,0.0929,0.1108,0.0715,0.0952,0.1061,0.1027
0.0995,0.1292,0.0539,0.1288,0.1062,0.1171,0.1249,0.1128,0.1118,0.1079,0.1027
0.0584,0.0322,0.1632,0.1159,0.118,0.1027,0.1065,0.0686,0.1127,0.1079,0.1027
0.0544,0.1147,0.0411,0.09,0.085,0.0904,0.1172,0.1162,0.1078,0.0927,0.1027
0.059,0.1701,0.1379,0.1302,0.0862,0.0828,0.1194,0.1042,0.0976,0.0929,0.1027
0.1816,0.0318,0.1144,0.132,0.1283,0.1083,0.0976,0.0985,0.1139,0.107,0.1027
0.059,0.1045,0.1194,0.1068,0.1115,0.127,0.106,0.102,0.1118,0.1061,0.1027
0.0584,0.1207,0.13,0.1349,0.1246,0.1139,0.103,0.0927,0.0952,0.1081,0.1027
0.0697,0.1518,0.0922,0.129,0.0879,0.1156,0.1087,0.113,0.0972,0.1081,0.1027
0.1863,0.0959,0.1534,0.0937,0.1283,0.1129,0.0891,0.1145,0.1127,0.1076,0.1027
0.2127,0.146,0.1525,0.1227,0.1207,0.1154,0.1222,0.0709,0.0976,0.1048,0.1027
0.1707,0.1067,0.1337,0.052,0.0871,0.1112,0.1092,0.0936,0.0972,0.1081,0.1027
0.1717,0.1619,0.1468,0.0298,0.0847,0.1122,0.1029,0.1165,0.0975,0.1076,0.1027
0.0188,0.0011,0.1632,0.0873,0.0881,0.0778,0.1106,0.1015,0.0979,0.1048,0.1027
0.1495,0.1575,0.1497,0.0461,0.1304,0.117,0.1158,0.1177,0.1118,0.1068,0.1027
0.1727,0.0585,0.1085,0.138,0.1268,0.1199,0.0871,0.1044,0.067,0.107,0.1027
0.0086,0.0959,0.0983,0.1327,0.1152,0.1173,0.124,0.1173,0.0886,0.1076,0.1027
0.0149,0.1266,0.1192,0.1083,0.0963,0.1122,0.1243,0.1137,0.1078,0.1068,0.1027
0.1741,0.1516,0.0495,0.1407,0.1094,0.0931,0.0963,0.1137,0.1127,0.1061,0.1027
0.0205,0.0524,0.1149,0.1135,0.088,0.1174,0.111,0.1181,0.1127,0.0929,0.1027
0.0206,0.0913,0.1304,0.0466,0.1059,0.0836,0.0746,0.0728,0.1118,0.1048,0.1027
0.0544,0.1292,0.114,0.0837,0.1028,0.0793,0.0743,0.1007,0.0685,0.1061,0.1027
0.0658,0.1121,0.1031,0.1355,0.1012,0.1094,0.0713,0.1179,0.0969,0.1068,0.1027
0.0064,0.1449,0.1336,0.1073,0.0878,0.1225,0.1048,0.0671,0.0952,0.1061,0.1027
-0.0032,0.1499,0.092,0.0972,0.1396,0.0979,0.1194,0.1037,0.1103,0.1051,0.1027
0.1449,0.0199,0.1261,0.0887,0.0449,0.0823,0.1052,0.1131,0.0899,0.1071,0.1027
0.0285,0.0521,0.1103,0.0496,0.1277,0.0455,0.126,0.1131,0.0986,0.1071,0.1027
0.019,0.0664,0.1414,0.0415,0.0815,0.1052,0.1035,0.0985,0.0964,0.1071,0.1027
0.0376,0.1701,0.1396,0.1124,0.1357,0.1071,0.1121,0.1171,0.0891,0.1081,0.1027
0.0182,0.0503,0.1549,0.0437,0.1101,0.0781,0.1211,0.1217,0.087,0.0927,0.1027
0.142,0.0593,0.1054,0.1168,0.0777,0.1315,0.1092,0.104,0.0886,0.107,0.1027
0.2202,0.054,0.0444,0.1085,0.1288,0.1186,0.1091,0.1028,0.1126,0.1051,0.1027
0.2164,0.1159,0.1029,0.0428,0.131,0.1012,0.1155,0.1222,0.1139,0.1081,0.1027
0.1449,0.1371,0.0498,0.1431,0.1189,0.1322,0.1246,0.0985,0.1138,0.1048,0.1027
0.1661,0.1207,0.1394,0.118,0.0486,0.114,0.1226,0.0927,0.109,0.1081,0.1027
0.0584,0.1446,0.1425,0.1185,0.0833,0.078,0.1174,0.0818,0.0889,0.107,0.1027
0.0182,0.0318,0.1348,0.1261,0.1037,0.1124,0.1066,0.1179,0.0952,0.1068,0.1027
0.0801,0.1605,0.1377,0.121,0.091,0.0822,0.0736,0.0715,0.1105,0.1076,0.1027
0.0823,0.1551,0.1425,0.121,0.1025,0.0775,0.1245,0.1217,0.1078,0.1048,0.1027
0.142,0.1479,0.1263,0.0436,0.1013,0.0791,0.1087,0.0709,0.1098,0.0852,0.1027
0.218,0.0199,0.128,0.1117,0.1041,0.1033,0.1245,0.1026,0.1123,0.107,0.1027
0.0108,0.0155,0.1315,0.0934,0.0777,0.1114,0.1058,0.1187,0.067,0.0852,0.1027
0.0244,0.0998,0.0908,0.0909,0.1205,0.074,0.1005,0.09,0.0981,0.0927,0.1027
0.0205,0.1446,0.1111,0.1408,0.1283,0.073,0.1077,0.0934,0.1123,0.1081,0.1027
0.0182,0.0466,0.0464,0.0842,0.0864,0.1178,0.11,0.1163,0.1102,0.1068,0.1027
0.0658,0.1369,0.1197,0.1288,0.1109,0.1211,0.043,0.0685,0.1121,0.0852,0.1027
0.2164,0.1478,0.1049,0.0886,0.085,0.1172,0.0945,0.0953,0.0975,0.107,0.1027
0.0801,0.0202,0.1062,0.1204,0.1231,0.1122,0.1118,0.1131,0.0779,0.0929,0.1027
0.0995,0.1215,0.1215,0.0898,0.0846,0.0819,0.1074,0.1181,0.0969,0.1076,0.1027
0.0149,0.1283,0.1566,0.0917,0.0387,0.0799,0.103,0.0914,0.1121,0.1081,0.1027
-0.0032,0.1494,0.1452,0.1093,0.1232,0.1172,0.0754,0.102,0.0868,0.1081,0.1027
0.0801,0.0535,0.0402,0.09,0.0325,0.1051,0.1048,0.1037,0.1112,0.0852,0.1027
0.0868,0.1559,0.1056,0.0539,0.1188,0.0779,0.0997,0.1011,0.0899,0.0927,0.1027
0.1762,0.0441,0.1003,0.1444,0.1184,0.1181,0.1103,0.1168,0.0971,0.1051,0.1027
0.0285,0.1313,0.1056,0.1039,0.0882,0.114,0.1222,0.1027,0.0967,0.1076,0.1027
0.0717,0.1045,0.1138,0.0963,0.1263,0.1187,0.1201,0.0946,0.1074,0.0852,0.1027
0.0717,0.1551,0.0177,0.1444,0.1296,0.1077,0.1088,0.1172,0.0964,0.1079,0.1027
0.1661,0.0188,0.1391,0.0487,0.1334,0.1066,0.111,0.1131,0.0952,0.1068,0.1027
0.0868,0.126,0.092,0.0448,0.108,0.0807,0.0956,0.1145,0.1121,0.1079,0.1027
0.1957,0.0392,0.0948,0.1306,0.1257,0.1114,0.125,0.1145,0.1126,0.1068,0.1027
0.2021,0.1121,0.1315,0.1385,0.0316,0.0753,0.0885,0.1054,0.1102,0.1071,0.1027
0.033,0.0429,0.0996,0.0464,0.0977,0.1287,0.0736,0.1001,0.1092,0.1048,0.1027
0.1863,0.0428,0.1287,0.093,0.0882,0.0778,0.0844,0.1153,0.0899,0.1051,0.1027
0.1449,0.1313,0.0533,0.1227,0.1077,0.1312,0.0983,0.0985,0.1119,0.1051,0.1027
0.0658,0.1208,0.11,0.1083,0.0886,0.1171,0.0762,0.1016,0.1109,0.0929,0.1027
0.1707,0.1494,0.1161,0.0482,0.1074,0.0962,0.1103,0.1115,0.0981,0.1051,0.1027
0.0086,0.1113,0.1013,0.1381,0.0295,0.0848,0.122,0.1039,0.0964,0.1081,0.1027
0.0244,0.1233,0.138,0.0929,0.137,0.1031,0.0714,0.1124,0.0981,0.1079,0.1027
0.033,0.1553,0.149,0.1153,0.086,0.0813,0.1013,0.1025,0.1092,0.1079,0.1027
0.1087,0.0504,0.0486,0.052,0.1238,0.1022,0.121,0.1043,0.0889,0.1079,0.1027
0.0086,0.1402,0.048,0.0906,0.1305,0.0807,0.04,0.1165,0.1114,0.0927,0.1027
0.142,0.1093,0.1185,0.0182,0.1232,0.121,0.1093,0.0728,0.0981,0.1079,0.1027
0.1087,0.1328,0.059,0.1288,0.1034,0.1083,0.0412,0.1026,0.1109,0.1068,0.1027
0.0678,0.1117,0.1554,0.1384,0.0779,0.1163,0.0946,0.1134,0.0979,0.1071,0.1027
0.0374,0.0445,0.1033,0.0874,0.1238,0.1138,0.125,0.1204,0.1118,0.0927,0.1027
0.1661,0.0486,0.11,0.0886,0.0853,0.0426,0.1177,0.1042,0.1109,0.107,0.1027
0.218,0.1177,0.0922,0.0989,0.1415,0.122,0.1028,0.1192,0.1109,0.1061,0.1027
0.0206,0.1625,0.0351,0.0472,0.1157,0.1154,0.1114,0.1158,0.0903,0.0852,0.1027
0.0658,0.1152,0.1337,0.1173,0.0868,0.1143,0.106,0.1154,0.0897,0.107,0.1027
0.1546,0.1648,0.0478,0.0438,0.1291,0.1259,0.1197,0.104,0.1118,0.1076,0.1027
0.2021,0.1328,0.1185,0.0938,0.0966,0.1145,0.1187,0.1202,0.1126,0.107,0.1027
3e-04,0.158,0.1359,0.1033,0.0884,0.1324,0.1214,0.1037,0.1078,0.1051,0.1027
0.0064,0.1446,0.1465,0.0357,0.1424,0.1178,0.1187,0.1014,0.1118,0.1068,0.1027
0.1741,0.1434,0.1231,0.1058,0.0957,0.1006,0.0405,0.0715,0.0779,0.1079,0.1027
0.0086,0.0155,0.1013,0.1221,0.1085,0.113,0.1028,0.1217,0.0779,0.1068,0.1027
0.0567,0.0539,0.1323,0.1266,0.0873,0.0802,0.0891,0.1141,0.0955,0.1061,0.1027
0.1087,0.1665,0.1391,0.1284,0.0985,0.1012,0.0995,0.0715,0.1126,0.0927,0.1027
0.0584,0.0322,0.0375,0.0929,0.0846,0.1321,0.1191,0.1204,0.1087,0.1079,0.1027
0.0567,0.1335,0.1072,0.137,0.0378,0.1162,0.0861,0.1178,0.1087,0.1061,0.1027
0.2202,0.0524,0.0549,0.0966,0.1134,0.1189,0.1049,0.1026,0.0898,0.1048,0.1027
0.1698,0.1413,0.1515,0.1239,0.1193,0.1136,0.1085,0.1004,0.1114,0.107,0.1027
0.1957,0.0917,0.1391,0.1271,0.0878,0.0757,0.107,0.1183,0.0779,0.1048,0.1027
-0.0032,0.0524,0.1443,0.0989,0.118,0.0946,0.1048,0.1037,0.1105,0.0852,0.1027
0.2127,0.1585,0.1088,0.1422,0.1218,0.1063,0.1071,0.1183,0.0975,0.1061,0.1027
0.142,0.0466,0.1298,0.1158,0.1022,0.0947,0.1241,0.117,0.0952,0.1051,0.1027
0.0206,0.0994,0.1433,0.1173,0.1178,0.1345,0.0983,0.105,0.0976,0.1079,0.1027
0.1957,0.0959,0.1298,0.0984,0.1074,0.1054,0.0744,0.0671,0.0886,0.1076,0.1027
0.059,0.158,0.1358,0.0466,0.1015,0.0817,0.0775,0.089,0.1139,0.1061,0.1027
0.0064,0.1701,0.1162,0.1228,0.1185,0.1127,0.1085,0.0942,0.1123,0.0852,0.1027
0.0704,0.0504,0.038,0.0928,0.1109,0.1205,0.0871,0.1169,0.1103,0.0852,0.1027
0.02,0.1159,0.0988,0.1268,0.1304,0.1121,0.1143,0.1179,0.1078,0.0852,0.1027
0.1741,0.129,0.0197,0.0918,0.1226,0.1223,0.1022,0.1122,0.1123,0.1061,0.1027
0.0086,0.0195,0.1116,0.0917,0.0815,0.1291,0.1243,0.0695,0.0971,0.1048,0.1027
0.0203,0.0309,0.0521,0.1137,0.123,0.1076,0.1022,0.1023,0.0889,0.1079,0.1027
0.0701,0.1085,0.1514,0.0937,0.0426,0.0783,0.0867,0.1003,0.0981,0.1079,0.1027
0.1707,0.0462,0.0296,0.0864,0.1202,0.1235,0.0731,0.0695,0.0952,0.1061,0.1027
0.0149,0.0922,0.1369,0.0956,0.0957,0.0956,0.1192,0.0985,0.1092,0.107,0.1027
0.1546,0.1559,0.0946,0.0936,0.1015,0.078,0.0432,0.1171,0.0979,0.1079,0.1027
0.0553,0.1059,0.104,0.0532,0.1146,0.1307,0.1068,0.1026,0.1141,0.1071,0.1027
0.1546,0.1651,0.0391,0.1114,0.1226,0.1119,0.1024,0.104,0.0955,0.1079,0.1027
0.1957,0.1478,0.0948,0.0898,0.0928,0.1154,0.1064,0.089,0.0685,0.1048,0.1027
0.1661,0.1126,0.1056,0.1362,0.0428,0.1325,0.1194,0.0729,0.1114,0.1071,0.1027
0.1449,0.0466,0.1041,0.1317,0.0813,0.1276,0.0997,0.0985,0.1087,0.0927,0.1027
0.0149,0.1287,0.0311,0.1376,0.0809,0.0826,0.1075,0.0951,0.0952,0.1051,0.1027
0.0108,0.158,0.1462,0.1435,0.0852,0.1324,0.111,0.1165,0.0975,0.0852,0.1027
0.1717,0.0412,0.0993,0.0878,0.1218,0.0907,0.04,0.1161,0.1126,0.1076,0.1027
0.059,0.0524,0.0882,0.086,0.0831,0.0899,0.118,0.1029,0.1121,0.1051,0.1027
0.1546,0.0134,0.1318,0.0909,0.1049,0.0836,0.1088,0.0944,0.0986,0.0927,0.1027
0.1863,0.1315,0.096,0.0945,0.033,0.083,0.1191,0.1015,0.1123,0.1048,0.1027
0.1857,0.1491,0.1261,0.0933,0.1321,0.118,0.1205,0.113,0.11,0.107,0.1027
0.0432,0.0412,0.0526,0.0899,0.0855,0.0907,0.103,0.1001,0.087,0.107,0.1027
0.1449,0.1313,0.1092,0.0473,0.1255,0.1273,0.1237,0.1,0.0981,0.0929,0.1027
0.1684,0.0255,0.1329,0.0452,0.123,0.0815,0.1195,0.1115,0.0886,0.0852,0.1027
0.1857,0.1521,0.1062,0.146,0.1157,0.0464,0.1263,0.1169,0.1092,0.1071,0.1027
0.0823,0.044,0.1456,0.0197,0.1228,0.1194,0.1046,0.1153,0.0975,0.0927,0.1027
0.0801,0.1516,0.1095,0.0447,0.0869,0.1146,0.0867,0.0728,0.1127,0.1068,0.1027
0.1087,0.0438,0.0402,0.1467,0.1203,0.0453,0.108,0.1008,0.1112,0.1068,0.1027
0.218,0.0647,0.0996,0.1276,0.1275,0.0922,0.0729,0.0927,0.0868,0.1071,0.1027
0.1546,0.126,0.1375,0.1309,0.1294,0.1211,0.0992,0.103,0.0685,0.107,0.1027
0.0086,0.0483,0.1053,0.1338,0.1253,0.1173,0.1078,0.0946,0.1099,0.1079,0.1027
0.2127,0.044,0.1232,0.0297,0.0917,0.0994,0.1099,0.1013,0.0898,0.1079,0.1027
0.1087,0.0392,0.1156,0.0864,0.0438,0.0925,0.0858,0.1115,0.0889,0.0927,0.1027
0.0995,0.0625,0.1378,0.1113,0.1007,0.0907,0.1195,0.1002,0.0976,0.1051,0.1027
0.0244,0.1374,0.1017,0.0909,0.1153,0.1138,0.0756,0.102,0.109,0.107,0.1027
0.142,0.1152,0.0996,0.048,0.1185,0.0779,0.0729,0.09,0.1109,0.1081,0.1027
0.1816,0.1536,0.0948,0.0882,0.1201,0.0413,0.0825,0.1044,0.1092,0.1079,0.1027
0.1957,0.1551,0.1085,0.0496,0.1239,0.1276,0.0998,0.0953,0.1099,0.1076,0.1027
0.1495,0.1335,0.1001,0.1234,0.0861,0.1042,0.1245,0.0671,0.1127,0.1068,0.1027
0.1957,0.1684,0.1063,0.09,0.1044,0.127,0.1099,0.1131,0.0899,0.1071,0.1027
