"values","interval","Category"
0.0438054,1,"Neutral"
-0.0126328,1,"Neutral"
0.0175708,1,"Neutral"
0.0335324,1,"Neutral"
-0.015763,1,"Neutral"
0.0102596,1,"Neutral"
-0.0377474,1,"Neutral"
0.0431924,2,"Neutral"
-0.0316082,2,"Neutral"
-0.0043074,2,"Neutral"
0.0079152,2,"Neutral"
0.0886948,2,"Neutral"
-0.025708,2,"Neutral"
-0.028129,2,"Neutral"
0.003412,3,"Neutral"
0.015838,3,"Neutral"
0.0064116,3,"Neutral"
0.0057224,3,"Neutral"
0.050129,3,"Neutral"
-0.0051918,3,"Neutral"
-0.0082094,3,"Neutral"
0.0004416,4,"Neutral"
0.0017904,4,"Neutral"
7.82000000000002e-05,4,"Neutral"
0.0027314,4,"Neutral"
-0.0019336,4,"Neutral"
-0.0002168,4,"Neutral"
0.0027706,4,"Neutral"
-0.014373,1,"Functional"
-0.0086798,1,"Functional"
-0.004657,1,"Functional"
0.0215158,1,"Functional"
-0.0603098,1,"Functional"
-0.0099222,2,"Functional"
-0.0127576,2,"Functional"
-0.0069124,2,"Functional"
0.0087064,2,"Functional"
-0.0466902,2,"Functional"
-0.0075756,3,"Functional"
-0.0024696,3,"Functional"
-0.0100504,3,"Functional"
0.0032552,3,"Functional"
-0.0285836,3,"Functional"
0.0010686,4,"Functional"
0.001272,4,"Functional"
0.0006272,4,"Functional"
0.000256,4,"Functional"
-0.0008194,4,"Functional"
0.000830199999999999,1,"Selected"
0.0410322,1,"Selected"
0.1064796,1,"Selected"
-0.000335,2,"Selected"
0.0333636,2,"Selected"
0.040114,2,"Selected"
-0.0002122,3,"Selected"
-0.048704,3,"Selected"
0.0236394,3,"Selected"
-0.0038138,4,"Selected"
-0.0050216,4,"Selected"
-0.0003752,4,"Selected"
