"values","interval","Category"
0.0507992,1,"Neutral"
-0.0093428,1,"Neutral"
0.0183656,1,"Neutral"
0.0372558,1,"Neutral"
-0.000575800000000001,1,"Neutral"
-0.00334980000000001,1,"Neutral"
-0.0351272,1,"Neutral"
0.0427676,2,"Neutral"
-0.0342092,2,"Neutral"
-0.0049664,2,"Neutral"
0.009268,2,"Neutral"
0.0813562,2,"Neutral"
-0.0273446,2,"Neutral"
-0.0303542,2,"Neutral"
0.0050712,3,"Neutral"
0.0169918,3,"Neutral"
0.0077198,3,"Neutral"
0.0045796,3,"Neutral"
0.0546112,3,"Neutral"
-0.00600880000000004,3,"Neutral"
-0.01235,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-8.83999999999885e-05,4,"Neutral"
0,4,"Neutral"
-0.0132966,1,"Functional"
-0.0088268,1,"Functional"
-0.00324180000000002,1,"Functional"
0.0205264,1,"Functional"
-0.0596338,1,"Functional"
-0.0126488,2,"Functional"
-0.0132582,2,"Functional"
-0.00917699999999999,2,"Functional"
0.0084314,2,"Functional"
-0.0534878,2,"Functional"
-0.0072372,3,"Functional"
-0.002381,3,"Functional"
-0.00834019999999999,3,"Functional"
0.0028944,3,"Functional"
-0.02979,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
-0.000228800000000001,1,"Selected"
0.047248,1,"Selected"
0.102591,1,"Selected"
-0.0023802,2,"Selected"
0.0474436,2,"Selected"
0.0461536,2,"Selected"
-0.0053946,3,"Selected"
-0.0407474,3,"Selected"
0.0240752,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
