"values","interval","Category"
-0.0279194,1,"Neutral"
0.098386,1,"Neutral"
0.0129262,1,"Neutral"
0.0348316,1,"Neutral"
0.0850686,1,"Neutral"
-0.02986,1,"Neutral"
-0.0470188,1,"Neutral"
-0.0177928,2,"Neutral"
0.0706262,2,"Neutral"
0.0144892,2,"Neutral"
0.0081612,2,"Neutral"
0.1289104,2,"Neutral"
-0.000689399999999999,2,"Neutral"
-0.0321892,2,"Neutral"
0.0211312,3,"Neutral"
0.0093206,3,"Neutral"
-0.0008986,3,"Neutral"
0.0070306,3,"Neutral"
0.0608816,3,"Neutral"
0.0006656,3,"Neutral"
-0.0101578,3,"Neutral"
0.001521,4,"Neutral"
0.0022056,4,"Neutral"
0.0008574,4,"Neutral"
0.0019346,4,"Neutral"
0.000401799999999999,4,"Neutral"
8.72000000000015e-05,4,"Neutral"
0.002619,4,"Neutral"
-0.0022252,1,"Functional"
-0.004669,1,"Functional"
-0.0054906,1,"Functional"
0.004098,1,"Functional"
-0.065207,1,"Functional"
-0.0140158,2,"Functional"
0.002534,2,"Functional"
-0.0015238,2,"Functional"
0.00175,2,"Functional"
-0.0461476,2,"Functional"
-0.0087562,3,"Functional"
-0.0023936,3,"Functional"
0.0028912,3,"Functional"
0.0051758,3,"Functional"
-0.0036378,3,"Functional"
0.0014382,4,"Functional"
0.0004362,4,"Functional"
-0.0010596,4,"Functional"
-0.0016744,4,"Functional"
-0.0039758,4,"Functional"
-0.017035,1,"Selected"
-0.080427,1,"Selected"
0.0949068,1,"Selected"
-0.0065474,2,"Selected"
-0.0507894,2,"Selected"
0.0309616,2,"Selected"
-0.0021518,3,"Selected"
-0.0251694,3,"Selected"
0.0074064,3,"Selected"
-0.0036612,4,"Selected"
-0.0060592,4,"Selected"
-0.0010764,4,"Selected"
