"values","interval","Category"
-0.0234008,1,"Neutral"
0.1039572,1,"Neutral"
0.0141656,1,"Neutral"
0.0372558,1,"Neutral"
0.0842242,1,"Neutral"
0.0238502,1,"Neutral"
-0.0492272,1,"Neutral"
-0.0178324,2,"Neutral"
0.0674908,2,"Neutral"
0.0151336,2,"Neutral"
0.009268,2,"Neutral"
0.1219562,2,"Neutral"
0.000455399999999995,2,"Neutral"
-0.0222542,2,"Neutral"
0.0238712,3,"Neutral"
0.0089918,3,"Neutral"
0.000719800000000007,3,"Neutral"
0.0045796,3,"Neutral"
0.0664112,3,"Neutral"
0.000191200000000002,3,"Neutral"
-0.01305,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-8.83999999999885e-05,4,"Neutral"
0,4,"Neutral"
0.00120340000000001,1,"Functional"
-0.0059268,1,"Functional"
-0.00324180000000002,1,"Functional"
0.0067264,1,"Functional"
-0.0661338,1,"Functional"
-0.0161488,2,"Functional"
0.0015418,2,"Functional"
-0.003577,2,"Functional"
0.0009314,2,"Functional"
-0.0506878,2,"Functional"
-0.0077372,3,"Functional"
-0.003381,3,"Functional"
0.00175980000000001,3,"Functional"
0.0053944,3,"Functional"
-0.00349,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
-0.0189288,1,"Selected"
-0.063152,1,"Selected"
0.102591,1,"Selected"
-0.0070802,2,"Selected"
-0.0443564,2,"Selected"
0.0352536,2,"Selected"
-0.0055946,3,"Selected"
-0.0185474,3,"Selected"
0.00577519999999998,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
