"values","interval","Category"
-0.0304348,1,"Neutral"
0.0750976,1,"Neutral"
0.0032202,1,"Neutral"
0.0110108,1,"Neutral"
0.226253,1,"Neutral"
-0.5374528,1,"Neutral"
-0.0107126,1,"Neutral"
0.0018604,2,"Neutral"
0.0532918,2,"Neutral"
-0.0050456,2,"Neutral"
0.035888,2,"Neutral"
0.1103084,2,"Neutral"
0.0269106,2,"Neutral"
-0.0202626,2,"Neutral"
0.0090578,3,"Neutral"
-0.0101376,3,"Neutral"
-0.0035652,3,"Neutral"
0.0095514,3,"Neutral"
-0.0328398,3,"Neutral"
-0.002673,3,"Neutral"
-0.0039176,3,"Neutral"
0.0010918,4,"Neutral"
0.000943,4,"Neutral"
0.0003376,4,"Neutral"
0.0042412,4,"Neutral"
0.0034388,4,"Neutral"
-0.000353399999999998,4,"Neutral"
0.0016592,4,"Neutral"
-0.0066942,1,"Functional"
-0.047571,1,"Functional"
0.0057076,1,"Functional"
-0.009642,1,"Functional"
-0.0273692,1,"Functional"
0.0073428,2,"Functional"
-0.0085046,2,"Functional"
0.0016672,2,"Functional"
0.0038436,2,"Functional"
-0.04255,2,"Functional"
-0.0029016,3,"Functional"
-0.0061624,3,"Functional"
0.0011412,3,"Functional"
0.0018798,3,"Functional"
0.001288,3,"Functional"
0.0011524,4,"Functional"
-2.6e-05,4,"Functional"
-0.001381,4,"Functional"
0.0006312,4,"Functional"
-0.0031844,4,"Functional"
-0.0496918,1,"Selected"
-0.1275474,1,"Selected"
0.0808976,1,"Selected"
-0.017368,2,"Selected"
-0.0455206,2,"Selected"
0.0480164,2,"Selected"
-0.0142624,3,"Selected"
-0.0248926,3,"Selected"
0.00841,3,"Selected"
-0.0014502,4,"Selected"
-0.0008312,4,"Selected"
0.0024424,4,"Selected"
