"values","interval","Category"
-0.0234008,1,"Neutral"
0.0794572,1,"Neutral"
0.0052656,1,"Neutral"
0.0129558,1,"Neutral"
0.2215242,1,"Neutral"
-0.5396498,1,"Neutral"
-0.00932719999999998,1,"Neutral"
0.0013676,2,"Neutral"
0.0510908,2,"Neutral"
-0.0042664,2,"Neutral"
0.035968,2,"Neutral"
0.1042562,2,"Neutral"
0.0267554,2,"Neutral"
-0.0263542,2,"Neutral"
0.00977119999999999,3,"Neutral"
-0.0097082,3,"Neutral"
-0.0023802,3,"Neutral"
0.0082796,3,"Neutral"
-0.0340888,3,"Neutral"
-0.0028088,3,"Neutral"
-0.00855,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-8.83999999999885e-05,4,"Neutral"
0,4,"Neutral"
-0.0046966,1,"Functional"
-0.0472268,1,"Functional"
0.00785819999999998,1,"Functional"
-0.0105736,1,"Functional"
-0.0336338,1,"Functional"
0.0052512,2,"Functional"
-0.0112582,2,"Functional"
0.000423000000000007,2,"Functional"
0.0009314,2,"Functional"
-0.0506878,2,"Functional"
-0.0015372,3,"Functional"
-0.006781,3,"Functional"
0.00175980000000001,3,"Functional"
0.0014944,3,"Functional"
-0.00019,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
-0.0515288,1,"Selected"
-0.139152,1,"Selected"
0.079891,1,"Selected"
-0.0200802,2,"Selected"
-0.0443564,2,"Selected"
0.0517536,2,"Selected"
-0.0201946,3,"Selected"
-0.0194474,3,"Selected"
0.00577519999999998,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
