"values","interval","Category"
0.0133106,1,"Neutral"
-0.0022058,1,"Neutral"
0.00655,1,"Neutral"
-0.0411762,1,"Neutral"
0.0403156,1,"Neutral"
0.0185046,1,"Neutral"
0.0721328,1,"Neutral"
0.0159538,2,"Neutral"
-0.0013382,2,"Neutral"
-0.01065,2,"Neutral"
-0.0060666,2,"Neutral"
-0.000466800000000001,2,"Neutral"
0.007184,2,"Neutral"
0.0705448,2,"Neutral"
0.0123152,3,"Neutral"
-0.0181236,3,"Neutral"
-0.0057742,3,"Neutral"
-0.0177946,3,"Neutral"
0.017567,3,"Neutral"
0.0080446,3,"Neutral"
0.0354322,3,"Neutral"
-0.0004126,4,"Neutral"
0.0002152,4,"Neutral"
0.000184600000000001,4,"Neutral"
-0.0010692,4,"Neutral"
0.0007258,4,"Neutral"
-2.79999999999998e-05,4,"Neutral"
-0.0020066,4,"Neutral"
0.0032366,1,"Functional"
0.0275652,1,"Functional"
0.0081944,1,"Functional"
-0.0034654,1,"Functional"
0.0325434,1,"Functional"
0.0033096,2,"Functional"
0.0072088,2,"Functional"
-0.00762,2,"Functional"
-0.0028652,2,"Functional"
-0.0051322,2,"Functional"
0.0013124,3,"Functional"
-0.0056314,3,"Functional"
-0.0136362,3,"Functional"
-0.0002712,3,"Functional"
-0.0008006,3,"Functional"
-5.98e-05,4,"Functional"
-0.0008282,4,"Functional"
-0.0003826,4,"Functional"
0.0021914,4,"Functional"
-0.0014156,4,"Functional"
0.0865918,1,"Selected"
0.077037,1,"Selected"
0.0750876,1,"Selected"
0.0200914,2,"Selected"
0.0044368,2,"Selected"
0.0181838,2,"Selected"
-0.0138064,3,"Selected"
0.041807,3,"Selected"
-0.0051176,3,"Selected"
0.000504000000000001,4,"Selected"
0.0060692,4,"Selected"
-0.0015588,4,"Selected"
