"values","interval","Category"
0.0145066,1,"Neutral"
0.00159299999999998,1,"Neutral"
0.007158,1,"Neutral"
-0.0434218,1,"Neutral"
0.0426622,1,"Neutral"
0.017993,1,"Neutral"
0.074296,1,"Neutral"
0.0151012,2,"Neutral"
0.000646600000000025,2,"Neutral"
-0.0109584,2,"Neutral"
-0.00522039999999999,2,"Neutral"
0.0057054,2,"Neutral"
0.00704399999999999,2,"Neutral"
0.0765308,2,"Neutral"
0.0122388,3,"Neutral"
-0.0206994,3,"Neutral"
-0.00613680000000001,3,"Neutral"
-0.0178368,3,"Neutral"
0.0164782,3,"Neutral"
0.00854580000000001,3,"Neutral"
0.0379666,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-1.36000000000025e-05,4,"Neutral"
0,4,"Neutral"
0.0024506,1,"Functional"
0.0298102,1,"Functional"
0.0072724,1,"Functional"
-0.0038312,1,"Functional"
0.0247924,1,"Functional"
0.0028164,2,"Functional"
0.0063942,2,"Functional"
-0.0079838,2,"Functional"
-0.002015,2,"Functional"
-0.00294119999999999,2,"Functional"
0.0012766,3,"Functional"
-0.0060436,3,"Functional"
-0.0140164,3,"Functional"
-0.0014344,3,"Functional"
0.000638199999999992,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0.0834392,1,"Selected"
0.0603424,1,"Selected"
0.07726,1,"Selected"
0.0210938,2,"Selected"
-0.00685619999999998,2,"Selected"
0.01839,2,"Selected"
-0.0124004,3,"Selected"
0.0292634,3,"Selected"
-0.006259,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
