"values","interval","Category"
0.0889638,1,"Neutral"
-0.0100532,1,"Neutral"
-0.0536044,1,"Neutral"
-0.0419938,1,"Neutral"
0.008652,1,"Neutral"
0.0065504,1,"Neutral"
-0.0214792,1,"Neutral"
0.0833316,2,"Neutral"
-0.0224374,2,"Neutral"
-0.0054056,2,"Neutral"
-0.005016,2,"Neutral"
-0.000153,2,"Neutral"
0.0280472,2,"Neutral"
0.0315934,2,"Neutral"
0.0139364,3,"Neutral"
-0.0245116,3,"Neutral"
-0.008975,3,"Neutral"
-0.0172808,3,"Neutral"
0.0202478,3,"Neutral"
0.0079144,3,"Neutral"
-0.016738,3,"Neutral"
-0.0004118,4,"Neutral"
-0.000310599999999999,4,"Neutral"
-0.000153599999999999,4,"Neutral"
0.000153999999999999,4,"Neutral"
-0.0015026,4,"Neutral"
-4.08000000000002e-05,4,"Neutral"
-0.0023348,4,"Neutral"
-0.0028868,1,"Functional"
0.0367468,1,"Functional"
0.007375,1,"Functional"
-0.0026878,1,"Functional"
0.051188,1,"Functional"
0.005844,2,"Functional"
0.0228566,2,"Functional"
0.0215262,2,"Functional"
-0.004477,2,"Functional"
0.0207292,2,"Functional"
0.0002466,3,"Functional"
0.0115448,3,"Functional"
0.0075072,3,"Functional"
-0.0017558,3,"Functional"
0.014974,3,"Functional"
-0.0002782,4,"Functional"
-0.000733,4,"Functional"
-8.00000000000008e-06,4,"Functional"
0.003175,4,"Functional"
0.0009618,4,"Functional"
0.073155,1,"Selected"
0.0668226,1,"Selected"
0.07597,1,"Selected"
0.039966,2,"Selected"
0.0410964,2,"Selected"
0.0446452,2,"Selected"
0.0204694,3,"Selected"
0.0287422,3,"Selected"
0.0189744,3,"Selected"
0.001332,4,"Selected"
-0.000147,4,"Selected"
5.28000000000002e-05,4,"Selected"
