"values","interval","Category"
0.0893066,1,"Neutral"
-0.00800700000000001,1,"Neutral"
-0.052842,1,"Neutral"
-0.0434218,1,"Neutral"
0.0104622,1,"Neutral"
0.001693,1,"Neutral"
-0.0141039999999999,1,"Neutral"
0.0824012,2,"Neutral"
-0.0212534,2,"Neutral"
-0.0062584,2,"Neutral"
-0.00522039999999999,2,"Neutral"
0.00690540000000001,2,"Neutral"
0.026544,2,"Neutral"
0.0286308,2,"Neutral"
0.0137388,3,"Neutral"
-0.0267994,3,"Neutral"
-0.0087368,3,"Neutral"
-0.0178368,3,"Neutral"
0.0164782,3,"Neutral"
0.0083458,3,"Neutral"
-0.0140334,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-1.36000000000025e-05,4,"Neutral"
0,4,"Neutral"
-0.0030494,1,"Functional"
0.0395102,1,"Functional"
0.0072724,1,"Functional"
-0.0035312,1,"Functional"
0.0440924,1,"Functional"
0.0055164,2,"Functional"
0.0226942,2,"Functional"
0.0218162,2,"Functional"
-0.002715,2,"Functional"
0.0224588,2,"Functional"
0.000376599999999998,3,"Functional"
0.0122564,3,"Functional"
0.0072836,3,"Functional"
-0.0029344,3,"Functional"
0.0145382,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0.0736392,1,"Selected"
0.0442424,1,"Selected"
0.07726,1,"Selected"
0.0399938,2,"Selected"
0.0381438,2,"Selected"
0.04329,2,"Selected"
0.0219996,3,"Selected"
0.0220634,3,"Selected"
0.017441,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
