"values","interval","Category"
0.0898056,1,"Neutral"
-0.000832799999999999,1,"Neutral"
-0.0150474,1,"Neutral"
-0.006234,1,"Neutral"
-0.011707,1,"Neutral"
0.0387416,1,"Neutral"
-0.111247,1,"Neutral"
0.0361098,2,"Neutral"
-0.0302872,2,"Neutral"
-0.0090302,2,"Neutral"
-0.0355878,2,"Neutral"
-0.0344164,2,"Neutral"
-0.0093142,2,"Neutral"
-0.1470426,2,"Neutral"
0.0088754,3,"Neutral"
-0.0187968,3,"Neutral"
0.0054306,3,"Neutral"
-0.0148886,3,"Neutral"
0.015696,3,"Neutral"
0.0073218,3,"Neutral"
-0.0642778,3,"Neutral"
-3.79999999999999e-05,4,"Neutral"
-3.08000000000001e-05,4,"Neutral"
0.000188600000000001,4,"Neutral"
-0.0011154,4,"Neutral"
0.000413399999999999,4,"Neutral"
5.80000000000072e-06,4,"Neutral"
-0.0013678,4,"Neutral"
-0.0005644,1,"Functional"
0.0769858,1,"Functional"
0.0458884,1,"Functional"
0.0049536,1,"Functional"
-0.00322,1,"Functional"
-0.0025468,2,"Functional"
0.0431074,2,"Functional"
0.0129536,2,"Functional"
-0.0023738,2,"Functional"
0.0203604,2,"Functional"
0.0002346,3,"Functional"
0.0196836,3,"Functional"
0.007355,3,"Functional"
0.0008452,3,"Functional"
0.0111592,3,"Functional"
-0.000384,4,"Functional"
0.000560800000000001,4,"Functional"
-0.0002394,4,"Functional"
0.0016166,4,"Functional"
0.0023512,4,"Functional"
0.1415964,1,"Selected"
0.08651,1,"Selected"
0.0914424,1,"Selected"
0.0893098,2,"Selected"
0.0421934,2,"Selected"
0.0252666,2,"Selected"
0.0386676,3,"Selected"
0.0148126,3,"Selected"
0.0182246,3,"Selected"
-0.000647999999999999,4,"Selected"
-0.001421,4,"Selected"
-0.0001144,4,"Selected"
