"values","interval","Category"
0.0893066,1,"Neutral"
0.00239299999999998,1,"Neutral"
-0.014842,1,"Neutral"
-0.00802180000000002,1,"Neutral"
-0.0038378,1,"Neutral"
0.031293,1,"Neutral"
-0.104604,1,"Neutral"
0.0345012,2,"Neutral"
-0.0299534,2,"Neutral"
-0.0093584,2,"Neutral"
-0.0358204,2,"Neutral"
-0.0288946,2,"Neutral"
-0.010356,2,"Neutral"
-0.1351692,2,"Neutral"
0.0090388,3,"Neutral"
-0.0212994,3,"Neutral"
0.0054632,3,"Neutral"
-0.0157368,3,"Neutral"
0.0153782,3,"Neutral"
0.00774580000000001,3,"Neutral"
-0.0656334,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-1.36000000000025e-05,4,"Neutral"
0,4,"Neutral"
-0.0010494,1,"Functional"
0.0788102,1,"Functional"
0.0433724,1,"Functional"
0.0039688,1,"Functional"
-0.0101076,1,"Functional"
-0.0026836,2,"Functional"
0.0444942,2,"Functional"
0.0130162,2,"Functional"
-0.002715,2,"Functional"
0.0224588,2,"Functional"
0.000176599999999999,3,"Functional"
0.0192564,3,"Functional"
0.0072836,3,"Functional"
-0.0015344,3,"Functional"
0.0114382,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0.1441392,1,"Selected"
0.0836424,1,"Selected"
0.09236,1,"Selected"
0.0925938,2,"Selected"
0.0381438,2,"Selected"
0.02519,2,"Selected"
0.0394996,3,"Selected"
0.00596340000000001,3,"Selected"
0.017441,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
