"values","interval","Category"
0.0466,1,"Neutral"
-0.111361111111111,1,"Neutral"
0.042752688172043,1,"Neutral"
0.00323170731707315,1,"Neutral"
0.00170491803278679,1,"Neutral"
0.0476288659793815,1,"Neutral"
0.0135973741794311,1,"Neutral"
0.00826666666666668,2,"Neutral"
-0.119611111111111,2,"Neutral"
0.0162795698924731,2,"Neutral"
-0.000434959349593533,2,"Neutral"
0.00483606557377054,2,"Neutral"
0.0360618556701031,2,"Neutral"
0.00406710430342815,2,"Neutral"
-0.0411333333333333,3,"Neutral"
-0.0375555555555557,3,"Neutral"
0.0304731182795699,3,"Neutral"
-0.000813008130081256,3,"Neutral"
0.00127868852459016,3,"Neutral"
0.0276804123711339,3,"Neutral"
0.00976805251641137,3,"Neutral"
-0.00129999999999999,4,"Neutral"
-0.00219444444444442,4,"Neutral"
0.00118279569892473,4,"Neutral"
2.84552845528412e-05,4,"Neutral"
0.000295081967213123,4,"Neutral"
0.000546391752577325,4,"Neutral"
-0.000412837345003614,4,"Neutral"
0.028,1,"Functional"
0.00197188049209139,1,"Functional"
0.00136189069423929,1,"Functional"
0.00468817204301076,1,"Functional"
0.0165352112676056,1,"Functional"
0.00868965517241379,2,"Functional"
0.0116801405975396,2,"Functional"
-0.00303101920236338,2,"Functional"
0.00218279569892473,2,"Functional"
-0.00036619718309859,2,"Functional"
0.0137931034482759,3,"Functional"
0.0046115992970123,3,"Functional"
-0.00103101920236336,3,"Functional"
0.00102150537634408,3,"Functional"
0.00195774647887324,3,"Functional"
0.000137931034482741,4,"Functional"
0.000551845342706498,4,"Functional"
-8.27178729690163e-05,4,"Functional"
-2.15053763440789e-05,4,"Functional"
0.000309859154929587,4,"Functional"
-0.00851515151515163,1,"Selected"
0.0332,1,"Selected"
0.0517058823529413,1,"Selected"
0.00909090909090912,2,"Selected"
-0.00570000000000001,2,"Selected"
0.0218529411764706,2,"Selected"
0.00193939393939395,3,"Selected"
8e-04,3,"Selected"
0.00717647058823527,3,"Selected"
-3.03030303030301e-05,4,"Selected"
1e-04,4,"Selected"
-0.000647058823529401,4,"Selected"
