"values","interval","Category"
0.0573666666666667,1,"Neutral"
-0.129694444444444,1,"Neutral"
0.0253118279569893,1,"Neutral"
0.00224390243902417,1,"Neutral"
-0.00349180327868814,1,"Neutral"
0.0641546391752579,1,"Neutral"
-0.00382932166302008,1,"Neutral"
-0.0174,2,"Neutral"
-0.128805555555556,2,"Neutral"
0.0033763440860215,2,"Neutral"
0.000186991869918662,2,"Neutral"
0.00196721311475401,2,"Neutral"
0.0414329896907216,2,"Neutral"
-0.0291568198395329,2,"Neutral"
-0.0506999999999996,3,"Neutral"
-0.052361111111111,3,"Neutral"
0.0306666666666666,3,"Neutral"
8.13008130085002e-06,3,"Neutral"
0.000213114754098354,3,"Neutral"
0.0264845360824744,3,"Neutral"
0.000458059810357403,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0.0667931034482763,1,"Functional"
0.011050966608084,1,"Functional"
0.0080797636632205,1,"Functional"
0.00500000000000023,1,"Functional"
-0.00485915492957734,1,"Functional"
0.0526551724137932,2,"Functional"
0.00592267135325131,2,"Functional"
0.00160709010339732,2,"Functional"
0.00308602150537662,2,"Functional"
-0.00350704225352139,2,"Functional"
0.0266206896551721,3,"Functional"
0.00100527240773307,3,"Functional"
0.0010841949778434,3,"Functional"
0.00133333333333341,3,"Functional"
0.00281690140845081,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0.00545454545454549,1,"Selected"
0.027,1,"Selected"
0.0234117647058822,1,"Selected"
0.000303030303030249,2,"Selected"
0.00609999999999999,2,"Selected"
0.00891176470588229,2,"Selected"
0,3,"Selected"
0,3,"Selected"
0.00294117647058822,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
