"values","interval","Category"
0.0740333333333336,1,"Neutral"
-0.0463611111111113,1,"Neutral"
0.0683225806451613,1,"Neutral"
0.00224390243902417,1,"Neutral"
0.00470491803278683,1,"Neutral"
0.0332268041237109,1,"Neutral"
-0.0227935813274981,1,"Neutral"
0.015933333333333,2,"Neutral"
-0.0871388888888889,2,"Neutral"
0.0571397849462365,2,"Neutral"
0.000186991869918662,2,"Neutral"
0.00196721311475401,2,"Neutral"
0.0208144329896907,2,"Neutral"
-0.024051057622174,2,"Neutral"
0.0493000000000003,3,"Neutral"
-0.0801388888888889,3,"Neutral"
0.0199139784946236,3,"Neutral"
8.13008130085002e-06,3,"Neutral"
0.000213114754098354,3,"Neutral"
0.0161752577319584,3,"Neutral"
-0.0425762217359587,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0.0667931034482763,1,"Functional"
-0.0258558875219689,1,"Functional"
0.0080797636632205,1,"Functional"
0.00500000000000023,1,"Functional"
-0.00485915492957734,1,"Functional"
0.0526551724137932,2,"Functional"
-0.00813708260105472,2,"Functional"
0.0030841949778434,2,"Functional"
0.00308602150537662,2,"Functional"
-0.00350704225352139,2,"Functional"
0.0266206896551721,3,"Functional"
-0.00075219683655503,3,"Functional"
0.0010841949778434,3,"Functional"
0.00133333333333341,3,"Functional"
0.00281690140845081,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0.00545454545454549,1,"Selected"
0.027,1,"Selected"
0.0234117647058822,1,"Selected"
0.000303030303030249,2,"Selected"
0.00609999999999999,2,"Selected"
0.00891176470588229,2,"Selected"
0,3,"Selected"
0,3,"Selected"
0.00294117647058822,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
