"values","interval","Category"
0.0740333333333336,1,"Neutral"
-0.0741388888888893,1,"Neutral"
0.0683225806451613,1,"Neutral"
0.00224390243902417,1,"Neutral"
0.00470491803278683,1,"Neutral"
-0.0440927835051551,1,"Neutral"
-0.0687454412837341,1,"Neutral"
0.115933333333333,2,"Neutral"
-0.00380555555555584,2,"Neutral"
0.0463870967741935,2,"Neutral"
0.000186991869918662,2,"Neutral"
0.00196721311475401,2,"Neutral"
0.000195876288659691,2,"Neutral"
-0.0707323121808899,2,"Neutral"
0.0659666666666663,3,"Neutral"
-0.0384722222222219,3,"Neutral"
0.00916129032258062,3,"Neutral"
8.13008130085002e-06,3,"Neutral"
0.000213114754098354,3,"Neutral"
0.0161752577319584,3,"Neutral"
-0.0228825674690006,3,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
0,4,"Neutral"
-0.0538965517241378,1,"Functional"
-0.032885764499121,1,"Functional"
0.0110339734121124,1,"Functional"
-0.000376344086021718,1,"Functional"
-0.00485915492957734,1,"Functional"
0.0354137931034483,2,"Functional"
-0.0134094903339187,2,"Functional"
0.00160709010339732,2,"Functional"
0.00308602150537662,2,"Functional"
-0.00350704225352139,2,"Functional"
0.0266206896551721,3,"Functional"
-0.011297012302285,3,"Functional"
0.0010841949778434,3,"Functional"
0.00133333333333341,3,"Functional"
0.00281690140845081,3,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
0,4,"Functional"
-0.0551515151515155,1,"Selected"
0.027,1,"Selected"
0.0234117647058822,1,"Selected"
0.000303030303030249,2,"Selected"
0.00609999999999999,2,"Selected"
0.00891176470588229,2,"Selected"
0,3,"Selected"
0,3,"Selected"
0.00294117647058822,3,"Selected"
0,4,"Selected"
0,4,"Selected"
0,4,"Selected"
