"Category","Interval","Mean","lower","upper"
"Neutral","1","0.005575","-0.0128715028771519","0.0242676"
"Neutral","2","0.00714997142857143","-0.0246670273635626","0.0341752185319323"
"Neutral","3","0.00973025714285714","-0.00505881036223345","0.0213986285714286"
"Neutral","4","0.000808828571428571","-0.000330660510849244","0.00201273256587116"
"Functional","1","-0.01330076","-0.03490044","0.01305628"
"Functional","2","-0.0135152","-0.02636552","0.00435064"
"Functional","3","-0.0090848","-0.01696872","0.0020108"
"Functional","4","0.00048088","-9.99200000000001e-05","0.0011478"
"Selected","1","0.0494473333333333","-0.00758493333333334","0.0980644666666667"
"Selected","2","0.0243808666666667","0.00864773333333334","0.0490967333333333"
"Selected","3","-0.0084256","-0.0404906","0.0318528"
"Selected","4","-0.0030702","-0.0057652","-0.0011188"
