"Category","Interval","Mean","lower","upper"
"Neutral","1","0.00828928571428571","-0.0124924442262932","0.027219065929284"
"Neutral","2","0.00521677142857143","-0.0262668213897234","0.0317421428571429"
"Neutral","3","0.0100878285714286","-0.00662542857142858","0.0226378877130432"
"Neutral","4","-1.26285714285698e-05","-2.52571428571396e-05","1.26285714285698e-05"
"Functional","1","-0.01289452","-0.0336802","0.01240496"
"Functional","2","-0.01602808","-0.0319336","0.00452356"
"Functional","3","-0.0089708","-0.01669952","0.00207664"
"Functional","4","0","0","0"
"Selected","1","0.0498700666666667","-0.00285086666666666","0.0999689333333333"
"Selected","2","0.0304056666666667","0.0133677333333333","0.0631915333333333"
"Selected","3","-0.00735560000000001","-0.0387864","0.0260362"
"Selected","4","0","0","0"
