"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0180591714285714","-0.0216709478298565","0.0550939198914444"
"Neutral","2","0.0245022285714286","-0.0197743611261452","0.0578161428571429"
"Neutral","3","0.0125676","-0.00527171029766917","0.0254705199496112"
"Neutral","4","0.00137522857142857","0.000735665506333113","0.00205068571428571"
"Functional","1","-0.01469876","-0.02998872","0.0112656985713191"
"Functional","2","-0.01148064","-0.02437012","0.0053368"
"Functional","3","-0.00134412","-0.00564276278476684","0.00274808"
"Functional","4","-0.00096708","-0.002472","0.000576"
"Selected","1","-0.000851733333333332","-0.0966102666666667","0.0787235333333333"
"Selected","2","-0.00879173333333333","-0.0485450666666667","0.0332059333333333"
"Selected","3","-0.00663826666666667","-0.0206829333333333","0.0118928666666667"
"Selected","4","-0.00359893333333333","-0.00612146666666667","-0.00113866666666667"
