"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0272607142857143","-0.0110546181021628","0.0645192"
"Neutral","2","0.0248882","-0.0127610413327686","0.0570514571428571"
"Neutral","3","0.0131021142857143","-0.00708248573688744","0.0282275539233545"
"Neutral","4","-1.26285714285698e-05","-2.52571428571396e-05","1.26285714285698e-05"
"Functional","1","-0.01347452","-0.0300402","0.01313892"
"Functional","2","-0.01358808","-0.02745004","0.00627692316447561"
"Functional","3","-0.0014908","-0.0058722","0.00218548"
"Functional","4","0","0","0"
"Selected","1","0.00683673333333333","-0.0889175333333333","0.0768254666666667"
"Selected","2","-0.00539433333333334","-0.0460422666666667","0.0335677333333333"
"Selected","3","-0.00612226666666667","-0.0180197333333333","0.00630286666666666"
"Selected","4","0","0","0"
