"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.0375740857142857","-0.170236827921787","0.149878685714286"
"Neutral","2","0.028993","-0.0049133148211683","0.0570722571428571"
"Neutral","3","-0.004932","-0.0137804285714286","0.00603840454328117"
"Neutral","4","0.0016226","0.000429867456730556","0.002722"
"Functional","1","-0.01711376","-0.03190448","0.00112776000000001"
"Functional","2","-0.0076402","-0.0200884","0.01048196"
"Functional","3","-0.000951","-0.00339736","0.00211517692125929"
"Functional","4","-0.00056156","-0.00183136","0.000937480000000001"
"Selected","1","-0.0321138666666667","-0.145125333333333","0.0633196666666667"
"Selected","2","-0.0049574","-0.0579312","0.0356058"
"Selected","3","-0.0102483333333333","-0.0289066666666667","0.00439593333333333"
"Selected","4","5.36666666666663e-05","-0.00233506666666667","0.00155753333333333"
