"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.0361678571428571","-0.169088486666546","0.152638057142857"
"Neutral","2","0.0269739142857143","-0.00502474815608731","0.0545233714285714"
"Neutral","3","-0.00564074285714286","-0.0145237714285714","0.00556168825864094"
"Neutral","4","-1.26285714285698e-05","-2.52571428571396e-05","1.26285714285698e-05"
"Functional","1","-0.01765452","-0.03486884","0.00186851999999999"
"Functional","2","-0.01106808","-0.0246938","0.00947792"
"Functional","3","-0.0010508","-0.00336528","0.002043"
"Functional","4","0","0","0"
"Selected","1","-0.0369299333333333","-0.153750866666667","0.0652921333333333"
"Selected","2","-0.00422766666666666","-0.0602089333333333","0.0359010666666667"
"Selected","3","-0.0112889333333333","-0.0283530666666667","-0.00238326666666668"
"Selected","4","0","0","0"
