"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0153473714285714","-0.0102086","0.0385690554990769"
"Neutral","2","0.0107372857142857","-0.0104271913910618","0.0252450285714286"
"Neutral","3","0.0045238","-0.00936778871408448","0.0180921011527716"
"Neutral","4","-0.000341542857142857","-0.000915371428571428","0.000288885714285714"
"Functional","1","0.01361484","0.00154328","0.02568232"
"Functional","2","-0.0010198","-0.00600036","0.00363432"
"Functional","3","-0.0038054","-0.00786716","0.00122252"
"Functional","4","-9.89599999999999e-05","-0.00133516","0.000803765230541682"
"Selected","1","0.0795721333333333","0.0725524666666667","0.0840566666666667"
"Selected","2","0.0142373333333333","0.00838326666666667","0.0240378666666667"
"Selected","3","0.00762766666666667","-0.0265516666666667","0.0290617333333333"
"Selected","4","0.00167146666666667","-0.00272626666666667","0.00490173333333334"
