"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0163981428571429","-0.00760137142857144","0.0401437142857143"
"Neutral","2","0.0126927428571429","-0.0106463142857143","0.0280000144245654"
"Neutral","3","0.0043652","-0.0099072","0.0181929142857143"
"Neutral","4","-1.9428571428575e-06","-3.885714285715e-06","1.9428571428575e-06"
"Functional","1","0.01209888","0.000863039999999995","0.02329552"
"Functional","2","-0.000745879999999998","-0.00530332","0.00332348"
"Functional","3","-0.00391592","-0.00818319999999999","0.0015314"
"Functional","4","0","0","0"
"Selected","1","0.0736805333333333","0.0639218666666667","0.0870186666666667"
"Selected","2","0.0108758666666667","0.00065793333333335","0.0286079333333333"
"Selected","3","0.00353466666666667","-0.0221940666666667","0.0194697333333333"
"Selected","4","0","0","0"
