"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00328062857142857","-0.0377921353493753","0.0256791353493754"
"Neutral","2","0.0157086","-0.00991200173069356","0.0377537686773073"
"Neutral","3","-0.00362954285714286","-0.0159944857142857","0.00747153555279077"
"Neutral","4","-0.000657171428571428","-0.00120542857142857","2.44842740893447e-05"
"Functional","1","0.01794704","-0.00163052","0.03664892"
"Functional","2","0.0132958","0.00469264","0.02353768"
"Functional","3","0.00650336","0.000897759999999999","0.01210896"
"Functional","4","0.00062352","-0.00060072","0.00165312"
"Selected","1","0.0719825333333333","0.0679950666666667","0.0771424666666667"
"Selected","2","0.0419025333333333","0.0391598666666667","0.0438390666666667"
"Selected","3","0.0227286666666667","0.0167151333333333","0.0264829333333333"
"Selected","4","0.0004126","-0.0005068","0.000972200000000001"
