"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00241614285714286","-0.0365257586765327","0.0261012137367073"
"Neutral","2","0.0159641714285714","-0.00933062857142856","0.0364157769761347"
"Neutral","3","-0.00412051428571428","-0.0159579911682013","0.00720859100683269"
"Neutral","4","-1.9428571428575e-06","-3.885714285715e-06","1.9428571428575e-06"
"Functional","1","0.01685888","-0.00117776","0.03479916"
"Functional","2","0.01395412","0.00553088","0.0239422"
"Functional","3","0.00630408","0.000433599999999999","0.01217456"
"Functional","4","0","0","0"
"Selected","1","0.0650472","0.0528344","0.085852"
"Selected","2","0.0404758666666667","0.0376617333333333","0.0428079333333333"
"Selected","3","0.0205013333333333","0.0189392666666667","0.0235616666666667"
"Selected","4","0","0","0"
