"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00236014285714286","-0.0436256872058303","0.0416508119573168"
"Neutral","2","-0.0327955142857143","-0.0657502285714286","0.00923783507457707"
"Neutral","3","-0.00866277142857143","-0.0245213601039342","0.0125725973843461"
"Neutral","4","-0.000277742857142857","-0.000703725364889308","0.000253457142857143"
"Functional","1","0.02480868","-0.0051078","0.0501404"
"Functional","2","0.01430016","-0.000861440000000002","0.02797784"
"Functional","3","0.00785552","0.00114208","0.01380812"
"Functional","4","0.00078104","-0.0001372","0.00167036"
"Selected","1","0.106516266666667","0.0714361333333333","0.126522533333333"
"Selected","2","0.0522566","0.0152034","0.0792466"
"Selected","3","0.0239016","0.0091356","0.0329906"
"Selected","4","-0.000727799999999999","-0.0013412","-3.4599999999999e-05"
