"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00118757142857143","-0.0391172571428572","0.0378492571428571"
"Neutral","2","-0.0307215428571429","-0.0613970551181729","0.00953731428571429"
"Neutral","3","-0.00929194285714285","-0.0263730285714286","0.0121536447364943"
"Neutral","4","-1.9428571428575e-06","-3.885714285715e-06","1.9428571428575e-06"
"Functional","1","0.02299888","-0.00975296","0.0496464356233314"
"Functional","2","0.01491412","-0.000823320000000002","0.02938444"
"Functional","3","0.00732408","0.000180879999999996","0.0137308671924883"
"Functional","4","0","0","0"
"Selected","1","0.106713866666667","0.0692885333333333","0.129785333333333"
"Selected","2","0.0519758666666667","0.0113579333333333","0.0787617333333333"
"Selected","3","0.020968","0.0024364","0.0359726"
"Selected","4","0","0","0"
