"Category","Interval","Mean","lower","upper"
"Neutral","1","0.00630777750994346","-0.0244427454816418","0.0495560788686991"
"Neutral","2","-0.00721925833632327","-0.0328842318966208","0.0331797298083812"
"Neutral","3","-0.00147166076103785","-0.0203043897421492","0.0184774758297268"
"Neutral","4","-0.000264936726597144","-0.000985284579589447","0.000535057037152665"
"Functional","1","0.0105114308993894","0.000643441406409838","0.0187517189156444"
"Functional","2","0.00383107501668322","-0.00101062592302033","0.00858447744776629"
"Functional","3","0.00407058707962843","-0.00126130884437995","0.00775343039388991"
"Functional","4","0.000179082456561146","-3.06130482187083e-05","0.000372268005950982"
"Selected","1","0.0254635769459299","-0.00077872846108152","0.0594423054070114"
"Selected","2","0.00841461675579324","-0.00502370766488414","0.0225292335115865"
"Selected","3","0.00330528817587641","-0.000565894236482454","0.00581057635175282"
"Selected","4","-0.000192453951277477","-0.000484907902554954","0.000262150920974447"
