"Category","Interval","Mean","lower","upper"
"Neutral","1","0.00172306669311221","-0.0346611532281735","0.051486362978419"
"Neutral","2","-0.0183426909476676","-0.0500227055708439","0.0221451618089801"
"Neutral","3","-0.00646151481660186","-0.0292847125496297","0.016624051057837"
"Neutral","4","0","0","0"
"Functional","1","0.0172129357580007","-0.00888189601825248","0.034131171152131"
"Functional","2","0.0119527826244594","-0.00892194680150775","0.024344128088289"
"Functional","3","0.00657207835650655","-0.00360847635734898","0.0120417030921158"
"Functional","4","0","0","0"
"Selected","1","0.0186221033868093","0.0102442067736185","0.031789661319073"
"Selected","2","0.00510493166963751","0.00129809863339273","0.00990683303624477"
"Selected","3","0.000980392156862742","-0.000980392156862742","0.00196078431372548"
"Selected","4","0","0","0"
