"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0148696364706805","-0.0104964594014357","0.0408859218154156"
"Neutral","2","0.0025214073545841","-0.0209557595044022","0.0325628944975661"
"Neutral","3","0.00293968606347951","-0.015533664482177","0.024738040860007"
"Neutral","4","-0.000721803162957534","-0.00146429600708972","0.000263929796582146"
"Functional","1","0.00397121157918997","-0.00521612441926239","0.0127856280993643"
"Functional","2","0.00591436843326148","-0.00304178280321963","0.013393576143126"
"Functional","3","0.00470263161449903","-0.00400108707154453","0.0109827562841599"
"Functional","4","0.000264653265975769","5.28988165714987e-05","0.000483632793051387"
"Selected","1","0.0301487225193107","0.00399744503862141","0.0753277480689247"
"Selected","2","0.0141439096850862","0.00643487819370171","0.0294090314913845"
"Selected","3","0.00104367201426024","-0.00508912655971478","0.00863279857397502"
"Selected","4","-0.000373737373737367","-0.000747474747474734","0.000252525252525247"
