"Category","Interval","Mean","lower","upper"
"Neutral","1","0.0161966923050582","-0.01534756662952","0.0464072006658126"
"Neutral","2","-0.00216402717959","-0.0306570622748197","0.0309223377624004"
"Neutral","3","-0.00530066136612371","-0.0321849997028103","0.0295638345550664"
"Neutral","4","0","0","0"
"Functional","1","0.00983156493199016","-0.02044090121907","0.0325607096445175"
"Functional","2","0.00943625280848743","-0.0126360283761655","0.0229133165632366"
"Functional","3","0.00622058450764893","-0.00401475044004074","0.012062440168874"
"Functional","4","0","0","0"
"Selected","1","0.0186221033868093","0.0102442067736185","0.031789661319073"
"Selected","2","0.00510493166963751","0.00129809863339273","0.00990683303624477"
"Selected","3","0.000980392156862742","-0.000980392156862742","0.00196078431372548"
"Selected","4","0","0","0"
