"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00214861543070888","-0.0358624243337771","0.0285089090756018"
"Neutral","2","0.0161900761658678","-0.0188029405959679","0.0405819717531575"
"Neutral","3","0.00582845762640426","-0.0105033270320848","0.0203134693360062"
"Neutral","4","-0.000154604401429383","-0.000794571873987135","0.000623744376421983"
"Functional","1","-0.00491034618590972","-0.0172682250355665","0.0058569090710295"
"Functional","2","0.00566999578262296","-0.00768538856881627","0.0163463276830031"
"Functional","3","0.00240358857932818","-0.00952955828074261","0.0137328028062624"
"Functional","4","-0.000293131162743726","-0.000783643129387897","0.000413226027729588"
"Selected","1","0.0109844919786095","-0.0257663101604281","0.0521508021390376"
"Selected","2","0.0135807486631016","0.00555757575757574","0.0295251336898396"
"Selected","3","-0.0013526440879382","-0.00811705288175874","0.00926440879382054"
"Selected","4","8.41354723707686e-05","-1.35472370766428e-05","0.000197682709447412"
