"Category","Interval","Mean","lower","upper"
"Neutral","1","-0.00538176846106751","-0.0467032006008739","0.035715530795887"
"Neutral","2","0.0128760919492019","-0.0278074931649661","0.0496752110897408"
"Neutral","3","0.00430995283791171","-0.0196800694087365","0.0250110501834324"
"Neutral","4","0","0","0"
"Functional","1","-0.0161967683653491","-0.035684757475219","0.00659681602081306"
"Functional","2","0.00463807442495643","-0.0115921365821313","0.0167441703355932"
"Functional","3","0.00411162141450294","-0.00852939024135619","0.014219975104575"
"Functional","4","0","0","0"
"Selected","1","-0.00157991681521108","-0.0301598336304222","0.0519916815210933"
"Selected","2","0.00510493166963751","0.00129809863339273","0.00990683303624477"
"Selected","3","0.000980392156862742","-0.000980392156862742","0.00196078431372548"
"Selected","4","0","0","0"
