GenParam,slope,Tstat,SE,category,Relation,Simulation
Fst,-0.005,-1.34,0.004,Neutral,IBE,Realistic
Fst,0.003,0.409,0.007,Neutral,IBD,Realistic
Fst,-0.001,-0.222,0.005,Neutral,IBD_IBE,Realistic
Fst,-0.006,-1.384,0.004,Neutral,IBE,Idealized
Fst,0.002,0.355,0.007,Neutral,IBD,Idealized
Fst,-0.001,-0.253,0.005,Neutral,IBD_IBE,Idealized
Fst,-0.004,-2.25,0.002,Functional,IBE,Realistic
Fst,-0.008,-2.034,0.004,Functional,IBD,Realistic
Fst,-0.006,-2.192,0.003,Functional,IBD_IBE,Realistic
Fst,-0.004,-2.176,0.002,Functional,IBE,Idealized
Fst,-0.008,-1.887,0.004,Functional,IBD,Idealized
Fst,-0.006,-2.268,0.003,Functional,IBD_IBE,Idealized
Fst,-0.024,-4.084,0.006,Selected,IBE,Realistic
Fst,-0.035,-5.988,0.006,Selected,IBD,Realistic
Fst,-0.023,-20.931,0.001,Selected,IBD_IBE,Realistic
Fst,-0.023,-4.034,0.006,Selected,IBE,Idealized
Fst,-0.035,-5.479,0.006,Selected,IBD,Idealized
Fst,-0.022,-9.959,0.002,Selected,IBD_IBE,Idealized
Fis,-0.001,-0.253,0.005,Neutral,IBE,Realistic
Fis,0.008,0.419,0.02,Neutral,IBD,Realistic
Fis,-0.006,-0.903,0.007,Neutral,IBD_IBE,Realistic
Fis,-0.002,-0.433,0.005,Neutral,IBE,Idealized
Fis,0.008,0.38,0.02,Neutral,IBD,Idealized
Fis,-0.009,-1.442,0.006,Neutral,IBD_IBE,Idealized
Fis,0.005,1.267,0.004,Functional,IBE,Realistic
Fis,0.006,2.007,0.003,Functional,IBD,Realistic
Fis,0.005,1.518,0.003,Functional,IBD_IBE,Realistic
Fis,0.005,1.222,0.004,Functional,IBE,Idealized
Fis,0.006,2.053,0.003,Functional,IBD,Idealized
Fis,0.005,1.473,0.004,Functional,IBD_IBE,Idealized
Fis,-0.019,-2.29,0.008,Selected,IBE,Realistic
Fis,0.009,0.668,0.014,Selected,IBD,Realistic
Fis,-0.001,-0.053,0.011,Selected,IBD_IBE,Realistic
Fis,-0.019,-2.277,0.008,Selected,IBE,Idealized
Fis,0.01,0.726,0.014,Selected,IBD,Idealized
Fis,-0.002,-0.191,0.011,Selected,IBD_IBE,Idealized
Gdcapt,-0.001,-0.212,0.007,Neutral,IBE,Realistic
Gdcapt,0,-0.077,0.006,Neutral,IBD,Realistic
Gdcapt,-0.005,-0.895,0.005,Neutral,IBD_IBE,Realistic
Gdcapt,0.001,0.09,0.007,Neutral,IBE,Idealized
Gdcapt,0.001,0.103,0.007,Neutral,IBD,Idealized
Gdcapt,-0.005,-0.819,0.006,Neutral,IBD_IBE,Idealized
Gdcapt,-0.003,-2.224,0.001,Functional,IBE,Realistic
Gdcapt,0.001,0.416,0.003,Functional,IBD,Realistic
Gdcapt,-0.001,-0.691,0.002,Functional,IBD_IBE,Realistic
Gdcapt,-0.006,-1.583,0.004,Functional,IBE,Idealized
Gdcapt,0.005,1.34,0.004,Functional,IBD,Idealized
Gdcapt,-0.003,-0.788,0.004,Functional,IBD_IBE,Idealized
Gdcapt,-0.008,-2.027,0.004,Selected,IBE,Realistic
Gdcapt,-0.005,-0.947,0.005,Selected,IBD,Realistic
Gdcapt,-0.01,-2.106,0.005,Selected,IBD_IBE,Realistic
Gdcapt,-0.006,-3.525,0.002,Selected,IBE,Idealized
Gdcapt,0,0.011,0.005,Selected,IBD,Idealized
Gdcapt,-0.006,-3.525,0.002,Selected,IBD_IBE,Idealized
