PopID,Lat,Long,Elev,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Tmax_DJF,Tmax_MAM,Tmax_JJA,Tmax_SON,Tmin_DJF,Tmin_MAM,Tmin_JJA,Tmin_SON,Tave_DJF,Tave_MAM,Tave_JJA,Tave_SON,PPT_DJF,PPT_MAM,PPT_JJA,PPT_SON,MAT,MWMT,MCMT,TD,MAP,AHM,DD_0,DD5,DD_18,DD18,NFFD,PAS,EMT,Eref,CMD
1,-35.29,-70.53,760,25.9,24.8,22.3,18.7,14.9,11.4,11.6,13.4,15.7,18.6,21.4,24.1,11.1,10.4,8.8,6.3,4.3,2.7,2.3,2.2,3,5.6,7.4,9.8,18.5,17.6,15.6,12.5,9.6,7,6.9,7.8,9.4,12.1,14.4,17,13,18,22,36,125,151,136,112,61,36,28,14,25,18.6,12.1,18.5,10.4,6.5,2.4,5.3,17.7,12.5,7.2,11.9,46,182,400,125,12.4,18.5,6.9,11.6,752,29.7,0,2762,2166,0,320,56,9.8,1688,1217
2,-38.18,-71.24,1650,23.2,22.4,19.9,15.5,10,5.1,5.1,7.3,11,15.1,18.1,20.5,3.4,2.6,0.9,-1.4,-1.7,-1.5,-1,-1.5,-2.3,-1.3,0.6,2.6,13.3,12.5,10.4,7,4.1,1.8,2,2.9,4.4,6.9,9.4,11.6,26,35,60,84,220,250,233,178,108,61,65,45,22,15.1,5.8,14.7,2.9,-0.8,-1.4,-1,12.5,7.2,2.2,6.9,106,364,662,234,7.2,13.3,1.8,11.5,1366,12.6,0,1204,4015,0,172,492,-10,1547,913
3,-36.5,-71.36,810,25.9,24.8,22,17.7,13.4,9.6,9.5,11.4,14.3,17.7,20.8,24,8.6,7.6,5.5,3,2.2,1,0.7,0.7,1.3,3.2,5.2,7.5,17.2,16.2,13.7,10.3,7.8,5.3,5.1,6,7.8,10.5,13,15.8,19,21,30,61,197,236,211,159,96,57,38,26,24.9,17.7,10.2,17.6,7.9,3.6,0.8,3.3,16.4,10.6,5.5,10.4,66,288,606,191,10.7,17.2,5.1,12.1,1151,18,0,2182,2734,0,281,177,3.2,1696,1130
4,-36.03,-72.4,510,25.9,25.3,22.6,18.7,14.5,11.7,11.4,12.7,14.9,17.7,20.7,24.1,11.3,10.7,8.5,6.3,5,3.8,3.1,3.2,4,5.6,8,9.9,18.6,18,15.6,12.5,9.7,7.8,7.3,7.9,9.5,11.7,14.4,17,8,8,18,40,136,191,155,113,67,38,20,14,25.1,18.6,11.9,17.8,10.7,6.6,3.4,5.9,17.9,12.6,7.7,11.8,30,194,459,125,12.5,18.6,7.3,11.4,809,27.8,0,2811,2121,0,331,53,10.7,1651,1211
5,-37.31,-72.52,940,24.4,23.7,20.6,16.7,11.8,8.6,8.6,9.6,12.4,15.3,18.4,22.1,7.2,6.3,4.2,2.7,1.3,0.4,0.1,-0.3,0.6,1.8,3.7,6.3,15.8,15,12.4,9.7,6.6,4.5,4.3,4.6,6.5,8.5,11,14.2,28,15,36,75,232,238,220,164,95,54,38,19,23.4,16.4,8.9,15.3,6.6,2.7,0,2,15,9.6,4.5,8.7,62,343,622,187,9.4,15.8,4.3,11.5,1214,16,0,1757,3207,0,257,258,-0.6,1583,1025
6,-37.44,-71.54,430,26.7,25.5,22.8,18.8,14.3,10.5,10.5,12.4,15.6,19.1,21.6,24.2,9.4,8.5,6.7,4.6,3.9,3.7,3.7,3.3,3.3,4.7,6.4,8.5,18,17,14.8,11.7,9.1,7.1,7.1,7.8,9.5,11.9,14,16.3,25,32,47,83,240,276,261,191,118,69,58,41,25.5,18.6,11.1,18.7,8.8,5.1,3.5,4.8,17.1,11.9,7.3,11.8,98,370,729,245,12,18,7.1,11,1442,15.3,0,2644,2271,0,322,102,5.2,1716,1042
7,-38.02,-72.02,670,25.1,24.2,21.4,17.2,12.2,8.8,8.7,10.1,13.3,16.6,19.3,22.4,6.9,6,4.4,2.7,1.7,1.6,1.3,0.9,1.3,2.3,3.8,6,16,15.1,12.9,10,6.9,5.2,5,5.5,7.3,9.4,11.5,14.2,40,44,58,108,324,335,332,229,148,103,88,63,23.9,16.9,9.2,16.4,6.3,2.9,1.3,2.5,15.1,9.9,5.2,9.4,147,490,897,339,9.9,16,5,11,1873,10.6,0,1893,3026,0,273,299,-1.4,1626,838
8,-38.18,-73.03,420,23.2,22.6,20.1,16.5,12.6,10.2,10.1,11.1,13.5,16.1,18.2,20.8,7.4,6.9,5.9,4.6,3.7,3.1,2.6,2.2,2.6,3.6,4.9,6.6,15.3,14.7,13,10.6,8.1,6.6,6.4,6.7,8,9.9,11.6,13.7,27,31,57,95,207,253,227,189,104,69,54,43,22.2,16.4,10.5,15.9,7,4.7,2.6,3.7,14.6,10.6,6.6,9.8,101,360,669,226,10.4,15.3,6.4,8.9,1355,15,0,2057,2860,0,306,129,-0.3,1522,856
9,-39.26,-71.35,840,24,23.5,20.9,16.7,11.8,7.8,7.6,9.6,12.9,16.7,19.5,21.8,6.7,6.1,4.7,2.2,1.7,1.5,1.9,1.3,1.1,2.3,4.2,6,15.4,14.8,12.8,9.5,6.8,4.7,4.7,5.5,7,9.5,11.8,13.9,21,28,53,77,145,180,183,129,75,44,42,36,23.1,16.5,8.4,16.4,6.3,2.9,1.6,2.5,14.7,9.7,5,9.4,85,274,491,161,9.7,15.4,4.7,10.7,1012,19.5,0,1825,3111,0,275,177,-2,1573,1025
10,-39.51,-71.55,1160,21.9,21.6,19.1,15,10,6.2,5.8,7.5,10.6,14.3,17.3,19.8,4.6,4,2.5,0.3,-0.3,-0.7,-0.6,-1.2,-1.2,0.1,1.9,3.8,13.3,12.8,10.8,7.6,4.8,2.8,2.6,3.2,4.7,7.2,9.6,11.8,32,35,64,98,182,212,225,167,101,65,55,47,21.1,14.7,6.5,14,4.1,0.8,-0.8,0.3,12.6,7.8,2.8,7.2,115,345,603,221,7.6,13.3,2.6,10.7,1283,13.7,0,1266,3865,0,210,389,-7,1467,831
