PopID,Lat,Long,Elev,Tmax01,Tmax02,Tmax03,Tmax04,Tmax05,Tmax06,Tmax07,Tmax08,Tmax09,Tmax10,Tmax11,Tmax12,Tmin01,Tmin02,Tmin03,Tmin04,Tmin05,Tmin06,Tmin07,Tmin08,Tmin09,Tmin10,Tmin11,Tmin12,Tave01,Tave02,Tave03,Tave04,Tave05,Tave06,Tave07,Tave08,Tave09,Tave10,Tave11,Tave12,PPT01,PPT02,PPT03,PPT04,PPT05,PPT06,PPT07,PPT08,PPT09,PPT10,PPT11,PPT12,Tmax_DJF,Tmax_MAM,Tmax_JJA,Tmax_SON,Tmin_DJF,Tmin_MAM,Tmin_JJA,Tmin_SON,Tave_DJF,Tave_MAM,Tave_JJA,Tave_SON,PPT_DJF,PPT_MAM,PPT_JJA,PPT_SON,MAT,MWMT,MCMT,TD,MAP,AHM,DD_0,DD5,DD_18,DD18,NFFD,PAS,EMT,Eref,CMD
1,6,100.633,200,31.3,32.4,32.9,32.5,31.8,31.4,31.1,31,30.6,30.6,30.6,30.7,20.5,20.9,21.1,22,22.2,22.1,21.7,21.7,21.6,21.6,21.5,21,25.9,26.7,27,27.3,27,26.8,26.4,26.4,26.1,26.1,26,25.9,58,68,132,218,236,161,218,225,275,375,268,107,31.5,32.4,31.2,30.6,20.8,21.8,21.8,21.6,26.1,27.1,26.5,26.1,233,587,604,918,26.5,27.3,25.9,1.4,2342,15.6,0,7703,12,3042,361,0,15.1,1973,307
2,4.58,102.98,80,28.1,29.3,30.4,31.5,31.8,31.4,31.3,31,30.9,30.4,29.6,28.2,21.4,21.5,21.7,22.2,22.4,21.9,21.8,21.7,21.7,21.8,22.2,21.6,24.7,25.4,26.1,26.8,27.1,26.7,26.5,26.4,26.3,26.1,25.9,24.9,303,161,155,162,202,180,166,214,259,304,413,582,28.5,31.2,31.2,30.3,21.5,22.1,21.8,21.9,25,26.7,26.5,26.1,1045,519,560,976,26.1,27.1,24.7,2.3,3100,11.6,0,7566,15,2902,361,0,16.2,1829,14
3,2.5,101.883,80,30.8,31.6,32.5,32.2,31.6,31.3,31,30.9,31.2,31.2,31.2,30.9,22.4,22.7,23,23.6,23.8,23.8,23.4,23.5,23.2,23.3,23.3,22.8,26.6,27.2,27.7,27.9,27.7,27.6,27.2,27.2,27.2,27.2,27.2,26.9,117,101,155,219,176,168,194,211,220,254,246,193,31.1,32.1,31.1,31.2,22.7,23.4,23.5,23.3,26.9,27.8,27.3,27.2,410,551,573,720,27.3,27.9,26.6,1.3,2254,16.5,0,8003,8,3338,361,0,17.5,1868,117
4,2.3,102.133,100,30.7,31.7,32.4,32.1,31.5,31.5,31.2,30.9,31,31.2,30.9,30.7,22.2,22.4,22.6,23.1,23.2,23.1,22.6,22.7,22.6,22.7,22.8,22.5,26.4,27.1,27.5,27.6,27.4,27.3,26.9,26.8,26.8,26.9,26.9,26.6,105,107,167,209,165,156,174,176,206,237,238,175,31,32,31.2,31,22.3,23,22.8,22.7,26.7,27.5,27,26.9,386,541,507,681,27,27.6,26.4,1.2,2116,17.5,0,7901,10,3237,361,0,17.1,1912,118
5,2.367,103.067,90,29.8,30.8,31.5,32,32,31.7,31.4,31.1,31.3,31.2,30.5,30,21.1,21.6,21.7,22,21.9,21.5,21.4,21.2,21.2,21.4,21.5,21.2,25.5,26.2,26.6,27,27,26.6,26.4,26.1,26.2,26.3,26,25.6,236,165,184,217,177,132,131,135,166,203,235,281,30.2,31.9,31.4,31,21.3,21.9,21.4,21.4,25.8,26.9,26.4,26.2,682,578,398,604,26.3,27,25.5,1.5,2262,16,0,7647,13,2986,361,0,15.9,1987,108
6,0.481,99.523,450,29.9,30.1,30.2,30.1,30.3,30,29.8,29.6,29.3,29.1,29.1,29.3,18.9,18.8,19.3,19.6,19.5,18.7,18.4,18.5,18.9,19.3,19.4,19.1,24.4,24.5,24.7,24.9,24.9,24.3,24.1,24,24.1,24.2,24.3,24.2,282,246,356,422,289,224,265,259,369,455,414,401,29.8,30.2,29.8,29.2,18.9,19.4,18.5,19.2,24.3,24.8,24.2,24.2,929,1067,747,1237,24.4,24.9,24,0.8,3980,8.6,0,6962,30,2316,361,0,13.3,2027,0
7,-1.367,101.667,100,30.1,30.7,31,31.3,31.6,31.3,31.1,31,30.8,30.7,30.7,30.2,22.1,22.1,22.3,22.7,22.6,22.1,21.8,21.8,22.1,22.2,22.3,22.2,26.1,26.4,26.6,27,27.1,26.7,26.4,26.4,26.5,26.5,26.5,26.2,308,282,301,311,237,135,138,113,158,194,268,313,30.3,31.3,31.1,30.8,22.2,22.5,21.9,22.2,26.3,26.9,26.5,26.5,903,850,386,620,26.5,27.1,26.1,0.9,2760,13.2,0,7732,12,3071,361,0,17,1937,93
8,-1.642,102.325,100,30,30.6,31,31.3,31.5,31.2,31,31,31.1,30.9,30.8,30.2,22,22,22.2,22.6,22.5,22.1,21.7,21.7,22,22.1,22.2,22.2,26,26.3,26.6,26.9,27,26.7,26.3,26.4,26.5,26.5,26.5,26.2,347,314,320,306,197,134,132,138,179,216,282,314,30.3,31.3,31.1,30.9,22.1,22.4,21.8,22.1,26.2,26.9,26.5,26.5,975,822,404,677,26.5,27,26,1,2879,12.7,0,7720,12,3059,361,0,16.9,1949,69
9,-1.592,102.725,200,29.5,30.2,30.5,30.8,31.1,30.6,30.4,30.5,30.7,30.5,30.1,29.6,21.3,21.5,21.5,21.9,22,21.6,21.2,21.2,21.4,21.6,21.6,21.4,25.4,25.9,26,26.3,26.5,26.1,25.8,25.8,26,26,25.9,25.5,328,288,309,268,178,116,114,125,180,207,276,296,29.8,30.8,30.5,30.4,21.4,21.8,21.3,21.5,25.6,26.3,25.9,26,912,755,356,662,25.9,26.5,25.4,1.1,2685,13.4,0,7520,15,2862,361,0,16.1,1936,110
10,-2.2,103.4,100,30.1,30.7,31.2,31.5,31.5,31.4,31.1,31.3,31.5,31.4,31.1,30.3,21.9,22,22.1,22.5,22.4,22,21.5,21.6,21.8,22,22.1,22.2,26,26.4,26.7,27,26.9,26.7,26.3,26.5,26.6,26.7,26.6,26.2,258,227,268,269,181,113,121,139,181,202,261,304,30.3,31.4,31.3,31.3,22,22.3,21.7,22,26.2,26.9,26.5,26.6,788,718,374,643,26.5,27,26,1,2523,14.5,0,7733,12,3072,361,0,16.8,1989,107
